corp_id,corp_name,schl_id,schl_name,iread_pct,math_prof_pct,ela_prof_pct,sc_prof_pct,ss_prof_pct,bio_prof_pct,sat_bmk_pct
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.844,0.395,0.36,0.265,0.346,NA,NA
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,NA,0.149,0.177,0.14,NA,NA,NA
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,NA,0.152,0.247,0.231,0.467,0.167,0
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.453,0.142,0.065,0.073,0.018,NA,NA
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,NA,0.133,0.127,0.055,0.118,NA,NA
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.565,0.1,0.093,0.023,0.047,NA,NA
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.76,0.245,0.255,0.156,0.229,NA,NA
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.802,0.325,0.288,0.338,0.188,NA,NA
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.838,0.495,0.485,0.485,0.263,NA,NA
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.822,0.31,0.31,0.311,0.203,NA,NA
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.693,0.362,0.32,0.179,0.365,NA,NA
0255,East Allen County Schools,0043,Prince Chapman Academy,0.616,0.144,0.14,0.083,0.088,NA,NA
0255,East Allen County Schools,0049,Leo Junior/Senior High School,NA,0.553,0.63,NA,NA,0.369,0.419
0255,East Allen County Schools,0053,Leo Elementary School,NA,0.648,0.684,0.607,0.602,NA,NA
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,NA,0.224,0.414,NA,NA,0.233,0.203
0255,East Allen County Schools,0281,Heritage Elementary School,0.8,0.425,0.418,0.331,0.519,NA,NA
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,NA,0.31,0.416,NA,NA,0.278,0.277
0255,East Allen County Schools,0291,Cedarville Elementary School,0.947,0.846,0.79,NA,NA,NA,NA
0255,East Allen County Schools,0294,Paul Harding Jr High School,NA,0.156,0.257,NA,NA,NA,NA
0255,East Allen County Schools,0297,New Haven Jr/Sr High School,NA,0.229,0.345,NA,NA,0.112,0.077
0255,East Allen County Schools,0305,New Haven Intermediate School,0.815,0.31,0.33,0.284,0.326,NA,NA
0255,East Allen County Schools,0323,Woodlan Elementary School,0.871,0.503,0.492,0.37,0.516,NA,NA
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,0.761,0.297,0.267,0.175,0.388,NA,NA
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,0.962,0.797,0.718,0.45,0.519,NA,NA
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,0.77,0.24,0.267,0.234,0.19,NA,NA
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,0.854,0.476,0.443,0.44,0.536,NA,NA
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,0.68,0.505,0.422,0.407,0.295,NA,NA
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,0.874,0.631,0.453,0.427,0.34,NA,NA
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,0.883,0.33,0.317,0.239,0.368,NA,NA
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,0.802,0.352,0.366,0.25,0.433,NA,NA
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,0.752,0.307,0.29,0.167,0.231,NA,NA
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,0.766,0.29,0.278,0.2,0.23,NA,NA
0365,Bartholomew Con School Corp,0390,Central Middle School,NA,0.296,0.371,NA,NA,0.877,NA
0365,Bartholomew Con School Corp,0392,Southside Elementary School,0.715,0.648,0.594,0.588,0.511,NA,NA
0365,Bartholomew Con School Corp,0395,Northside Middle School,NA,0.315,0.417,NA,NA,0.913,NA
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,0.887,0.521,0.456,0.273,0.466,NA,NA
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,NA,0.362,0.338,NA,NA,0.133,0.328
0395,Benton Community School Corp,0421,Otterbein Elementary School,0.782,0.516,0.346,0.429,0.341,NA,NA
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,NA,0.271,0.339,NA,NA,0.416,0.281
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,0.896,0.399,0.287,0.281,0.462,NA,NA
0515,Blackford County Schools,0489,Blackford Jr-Sr High School,NA,0.319,0.422,NA,NA,0.345,0.198
0515,Blackford County Schools,0494,Blackford Intermediate School,0.76,0.361,0.309,0.286,0.441,NA,NA
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,0.877,0.715,0.536,0.541,0.491,NA,NA
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,0.903,0.705,0.594,0.518,0.672,NA,NA
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,NA,0.47,0.508,NA,NA,0.387,0.262
0630,Zionsville Community Schools,0510,Zionsville West Middle School,NA,0.571,0.608,0.682,0.699,NA,NA
0630,Zionsville Community Schools,0511,Zionsville Middle School,NA,0.586,0.664,0.701,0.807,NA,NA
0630,Zionsville Community Schools,0514,Eagle Elementary School,NA,0.838,0.735,0.754,NA,NA,NA
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,NA,0.839,0.727,0.744,NA,NA,NA
0630,Zionsville Community Schools,0541,Union Elementary School,NA,0.76,0.593,0.667,NA,NA,NA
0630,Zionsville Community Schools,0542,Stonegate Elementary,0.921,0.772,0.635,0.617,NA,NA,NA
0630,Zionsville Community Schools,0544,Boone Meadow,NA,0.87,0.695,0.793,NA,NA,NA
0630,Zionsville Community Schools,0546,Trailside Elementary School,NA,0.768,0.588,0.682,NA,NA,NA
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,0.935,0.552,0.48,0.417,0.522,NA,NA
0665,Lebanon Community School Corp,0557,Lebanon Middle School,NA,0.382,0.386,0.415,NA,NA,NA
0665,Lebanon Community School Corp,0561,Central Elementary School,0.825,0.735,0.559,0.491,0.429,NA,NA
0665,Lebanon Community School Corp,0565,Harney Elementary School,0.774,0.261,0.252,0.29,0.302,NA,NA
