corp_id,corp_name,typ,address,county,NAME,geometry
3125,Greenfield-Central Community Schools,School Corporation,"110 W North St, Greenfield, IN, 46140",Hancock,Greenfield-Central Community Schools,"c(-85.77119, 39.7864275)"
3135,Mt Vernon Community School Corporation,School Corporation,"1806 W SR 234, Fortville, IN, 46040",Hancock,Mount Vernon Community School Corporation,"c(-85.8401638, 39.9010796)"
3145,Eastern Hancock County Community School Corporation,School Corporation,"10370 E 250 N, Charlottesville, IN, 46117",Hancock,Eastern Hancock County Community School Corporation,"c(-85.6096814, 39.8237477)"
3160,Lanesville Community School Corporation,School Corporation,"2725 Crestview Ave NE, Lanesville, IN, 47136",Harrison,Lanesville Community School Corporation,"c(-85.9891043, 38.2390105)"
3180,North Harrison Community School Corporation,School Corporation,"1260 Hwy 64 NW, Ramsey, IN, 47166",Harrison,North Harrison Community School Corporation,"c(-86.1548269, 38.3169506)"
3190,South Harrison Community Schools,School Corporation,"315 S Harrison Dr, Corydon, IN, 47112",Harrison,South Harrison Community Schools,"c(-86.1216513, 38.2028812)"
3295,North West Hendricks Schools,School Corporation,"Box 70, Lizton, IN, 46149",Hendricks,North West Hendricks Schools,"c(-86.5602614, 39.8687659)"
3305,Brownsburg Community School Corporation,School Corporation,"310 Stadium Dr, Brownsburg, IN, 46112",Hendricks,Brownsburg Community School Corporation,"c(-86.3896893, 39.8385959)"
3315,Avon Community School Corporation,School Corporation,"7203 E US Hwy 36, Avon, IN, 46123",Hendricks,Avon Community School Corporation,"c(-86.3946401, 39.7615222)"
3325,Danville Community School Corporation,School Corporation,"200 Warrior Way, Danville, IN, 46122",Hendricks,Danville Community School Corporation,"c(-86.5417385, 39.7589461)"
3330,Plainfield Community School Corporation,School Corporation,"985 S Longfellow Dr, Plainfield, IN, 46168",Hendricks,Plainfield Community School Corporation,"c(-86.395591, 39.6942116)"
3335,Mill Creek Community School Corporation,School Corporation,"6631 S CR 200 W, Clayton, IN, 46118",Hendricks,Mill Creek Community School Corporation,"c(-86.5596739, 39.6646095)"
3405,Blue River Valley Schools,School Corporation,"3038 US Highway 36 East, New Castle, IN, 47362",Henry,Blue River Valley Schools,"c(-85.3270225, 40.0048833)"
3415,South Henry School Corporation,School Corporation,"6972 S SR 103, Straughn, IN, 47387",Henry,South Henry School Corporation,"c(-85.3342973, 39.8260342)"
3435,Shenandoah School Corporation,School Corporation,"5100 N Raider Rd, Middletown, IN, 47356",Henry,Shenandoah School Corporation,"c(-85.5256986, 40.0059389)"
3445,New Castle Community School Corporation,School Corporation,"322 Elliott Ave, New Castle, IN, 47362",Henry,New Castle Community School Corporation,"c(-85.3802579, 39.9261015)"
3455,C A Beard Memorial School Corporation,School Corporation,"8139 W US 40, Knightstown, IN, 46148",Henry,C. A. Beard Memorial School Corporation,"c(-85.5874135, 39.7921207)"
3460,Taylor Community School Corporation,School Corporation,"3750 E CR 300 S, Kokomo, IN, 46902",Howard,Taylor Community School Corporation,"c(-86.0551143, 40.4346825)"
3470,Northwestern School Corporation,School Corporation,"3075 N Washington St, Kokomo, IN, 46901",Howard,Northwestern School Corporation,"c(-86.1283246, 40.5212211)"
3480,Eastern Howard School Corporation,School Corporation,"221 W Main Suite One, Greentown, IN, 46936",Howard,Eastern Howard School Corporation,"c(-85.9687585, 40.4776822)"
3490,Western School Corporation,School Corporation,"2600 S 600 W, Russiaville, IN, 46979",Howard,Western School Corporation,"c(-86.2433462, 40.4372676)"
3500,Kokomo School Corporation,School Corporation,"1500 S Washington PO Box 2188, Kokomo, IN, 46904",Howard,Kokomo-Center Township Consolidated School Corporation,"c(-86.1327501, 40.4688951)"
3625,Huntington County Community School Corporation,School Corporation,"1063 E 900 S, Warren, IN, 46792",Huntington,Huntington County Community School Corporation,"c(-85.427556, 40.695733)"
3640,Medora Community School Corporation,School Corporation,"PO Box 369, Medora, IN, 47260",Jackson,Medora Community School Corporation,"c(-86.1955169, 38.8215176)"
3675,Seymour Community Schools,School Corporation,"1420 Corporate Way, Seymour, IN, 47274",Jackson,Seymour Community Schools,"c(-85.909929, 38.9485714)"
3695,Brownstown Central Community School Corporation,School Corporation,"608 W Commerce St, Brownstown, IN, 47220",Jackson,Brownstown Central Community School Corporation,"c(-86.0494652, 38.878108)"
3710,Crothersville Community Schools,School Corporation,"201 S Preston St, Crothersville, IN, 47229",Jackson,Crothersville Community Schools,"c(-85.8360541, 38.7963604)"
3785,Kankakee Valley School Corporation,School Corporation,"PO Box 278, Wheatfield, IN, 46392",Jasper,Kankakee Valley School Corporation,"c(-87.1023746, 41.2043542)"
3815,Rensselaer Central School Corporation,School Corporation,"900 E Washington St, Rensselaer, IN, 47978",Jasper,Rensselaer Central School Corporation,"c(-87.1405929, 40.9385132)"
