corp_id,corp_name,schl_id,schl_name,pct_bmk
3025,Hamilton Heights School Corp,2477,Hamilton Heights High School,0.265
3030,Westfield-Washington Schools,2493,Westfield High School,0.506
3055,Sheridan Community Schools,2463,Sheridan High School,0.299
3060,Carmel Clay Schools,2505,Carmel High School,0.678
3070,Noblesville Schools,2517,Noblesville High School,0.484
3115,Southern Hancock Co Com Sch Corp,2565,New Palestine High School,0.391
3125,Greenfield-Central Com Schools,2595,Greenfield-Central High School,0.295
3135,Mt Vernon Community School Corp,2569,Mt Vernon High School,0.346
3145,Eastern Hancock Co Com Sch Corp,2585,Eastern Hancock High School,0.216
3160,Lanesville Community School Corp,2613,Lanesville Jr-Sr HS,0.228
3180,North Harrison Com School Corp,2629,North Harrison High School,0.203
3190,South Harrison Com Schools,2640,Corydon Central High School,0.29
3190,South Harrison Com Schools,2670,South Central Jr & Sr High School,0.298
3295,North West Hendricks Schools,2731,Tri-West Senior High School,0.447
3305,Brownsburg Community School Corp,2709,Brownsburg High School,0.394
3315,Avon Community School Corp,2737,Avon High School,0.402
3325,Danville Community School Corp,2741,Danville Community High School,0.371
3330,Plainfield Community School Corp,2749,Plainfield High School,0.452
3330,Plainfield Community School Corp,3331,Pride Academy,NA
3335,Mill Creek Community Sch Corp,2692,Cascade Senior High School,0.333
3405,Blue River Valley Schools,2801,Blue River Valley Jr-Sr High Sch,0.174
3415,South Henry School Corp,2773,Tri Junior-Senior High School,0.094
3435,Shenandoah School Corporation,2817,Shenandoah High School,0.329
3445,New Castle Community School Corp,2810,New Castle Schools at the Hoosier Youth Challenge Academy,0.222
3445,New Castle Community School Corp,2825,New Castle High School,0.211
3455,C A Beard Memorial School Corp,2869,Knightstown High School,0.208
3460,Taylor Community School Corp,2894,Taylor High School,0.16
3470,Northwestern School Corp,2897,Northwestern Senior High School,0.388
3480,Eastern Howard School Corporation,2919,Eastern High School,0.296
3490,Western School Corporation,2921,Western High School,0.393
3500,Kokomo School Corporation,3013,Kokomo High School,0.164
3625,Huntington Co Com Sch Corp,3065,Huntington North High School,0.311
3640,Medora Community School Corp,3093,Medora Jr & Sr High School,0.077
3675,Seymour Community Schools,3133,Seymour Senior High School,0.169
3695,Brownstown Cnt Com Sch Corp,3126,Brownstown Central High School,0.313
3710,Crothersville Community Schools,3121,Crothersville Jr-Sr High School,0.103
3785,Kankakee Valley School Corp,3181,Kankakee Valley High School,0.321
3815,Rensselaer Central School Corp,3201,Rensselaer Central High School,0.289
3945,Jay School Corporation,3239,Jay County Jr/Sr High School,0.289
3995,Madison Consolidated Schools,3309,Madison Consolidated High School,0.233
4000,Southwestern-Jefferson Co Con,3337,Southwestern High School,0.208
4015,Jennings County School Corporation,3345,Jennings County High School,0.133
4145,Clark-Pleasant Community Sch Corp,3421,Whiteland Community High School,0.274
4205,Center Grove Community School Corp,3437,Center Grove High School,0.423
4215,Edinburgh Community School Corp,3447,Edinburgh Community High School,0.093
4225,Franklin Community School Corp,3445,Franklin Community High School,0.272
4245,Greenwood Community Sch Corp,3473,Greenwood Community High Sch,0.332
4255,Nineveh-Hensley-Jackson United,3419,Indian Creek Sr High School,0.242
4315,North Knox School Corp,3537,North Knox Jr-Sr High School,0.176
4325,South Knox School Corp,3490,South Knox Middle-High School,0.217
4335,Vincennes Community School Corp,3553,Lincoln High School,0.216
4335,Vincennes Community School Corp,4319,Washington Learning Academy,0
4345,Wawasee Community School Corp,3639,Wawasee High School,0.215
4415,Warsaw Community Schools,3647,Warsaw Community High School,0.295
4445,Tippecanoe Valley School Corp,3602,Tippecanoe Valley High School,0.361
4455,Whitko Community School Corp,9191,Whitko Jr/Sr High School,0.213
4515,Prairie Heights Community Sch Corp,3690,Prairie Heights Sr High School,0.286
4525,Westview School Corporation,3697,Westview Jr-Sr High School,0.407
4535,Lakeland School Corporation,3730,Lakeland Jr/Sr High School,0.201
4570,NW Indiana Special Education Coop,4287,Eagle Park Community School,NA
4580,Hanover Community School Corp,3785,Hanover Central High School,0.44
4590,River Forest Community Sch Corp,3791,River Forest High School,0.054
4600,Merrillville Community School Corp,3809,Merrillville High School,0.118
4615,Lake Central School Corporation,3833,Lake Central High School,0.44
4645,Tri-Creek School Corporation,3865,Lowell Senior High School,0.271
4650,Lake Ridge New Tech Schools,3869,Calumet New Tech High School,0.074
4660,Crown Point Community School Corp,3901,Crown Point High School,0.403
4670,School City of East Chicago,3924,East Chicago Central High School,0.045
4680,Lake Station Community Schools,3965,Thomas A Edison Jr-Sr HS,0.046
4690,Gary Community School Corp,4068,Gary Virtual Academy,0
4690,Gary Community School Corp,4163,West Side Leadership Academy,0.015
4700,Griffith Public Schools,4173,Griffth Jr/Sr High School,0.252
4710,School City of Hammond,4415,Hammond Central High School,0.033
4710,School City of Hammond,4417,Morton Senior High School,0.091
4720,School Town of Highland,4281,Highland High School,0.302
4730,School City of Hobart,4305,Hobart High School,0.263
4740,School Town of Munster,4332,Munster High School,0.635
4760,School City of Whiting,4353,Whiting High School,0.099
4805,New Prairie United School Corp,4689,New Prairie High School,0.285
4860,MSD of New Durham Township,4701,Westville High School,0.338
4915,Tri-Township Cons School Corp,4692,Tri-Township Jr.-Sr. High School,0.065
4925,Michigan City Area Schools,4795,Michigan City High School,0.148
4940,South Central Com School Corp,4737,South Central Jr-Sr High School,0.156
4945,LaPorte Community School Corp,4741,LaPorte High School,0.271
5075,North Lawrence Com Schools,4911,Bedford-North Lawrence High School,0.273
5085,Mitchell Community Schools,4925,Mitchell High School,0.13
5245,Frankton-Lapel Community Schools,5005,Frankton Jr-Sr High School,0.252
5245,Frankton-Lapel Community Schools,5011,Lapel Sr High School,0.364
5255,South Madison Com Sch Corp,5053,Pendleton Heights High School,0.333
5265,Alexandria Community School Corp,5041,Alexandria-Monroe High School,0.193
5275,Anderson Community School Corp,4945,Anderson High School,0.096
5280,Elwood Community School Corp,5149,Elwood Jr-Sr High School,0.124
5300,MSD Decatur Township,5177,Decatur Central High School,0.088
5310,Franklin Township Com Sch Corp,5193,Franklin Central High School,0.317
5330,MSD Lawrence Township,5275,Lawrence Central High School,0.089
5330,MSD Lawrence Township,5276,Lawrence North High School,0.184
5340,Perry Township Schools,5307,Perry Meridian High School,0.291
5340,Perry Township Schools,5309,Southport High School,0.154
5350,MSD Pike Township,5353,Pike High School,0.124
5360,MSD Warren Township,5361,Warren Central High School,0.101
5360,MSD Warren Township,5379,Warren Online Academy,0.05
5370,MSD Washington Township,5451,North Central High School,0.308
5375,MSD Wayne Township,5213,Ben Davis High School,0.082
5375,MSD Wayne Township,5271,Sanders School,NA
5375,MSD Wayne Township,5288,Achieve Virtual Education Academy,0.045
5375,MSD Wayne Township,5447,Ben Davis University High School,0.11
5380,Beech Grove City Schools,5449,Beech Grove Sr High School,0.126
5385,Indianapolis Public Schools,0108,Impact Academy 1,NA
5385,Indianapolis Public Schools,0109,Thrival Academy,0
5385,Indianapolis Public Schools,0112,Impact Academy 2,NA
5385,Indianapolis Public Schools,0113,Impact Academy 3,NA
5385,Indianapolis Public Schools,5462,Arsenal Technical High School,0.034
5385,Indianapolis Public Schools,5474,Crispus Attucks High School,0.02
5385,Indianapolis Public Schools,5492,Shortridge High School,0.104
5385,Indianapolis Public Schools,5644,George Washington High School,0.015
5390,Southside Sp Srvs Of Marion Co,5320,RISE Learning Center,NA
5400,School Town of Speedway,5891,Speedway Senior High School,0.387
5455,Culver Community Schools Corp,5245,Culver Community Middle/High Sch,0.186
5470,Argos Community Schools,5937,Argos Comm Jr-Sr High School,0.122
5480,Bremen Public Schools,5941,Bremen Senior High School,0.333
5485,Plymouth Community School Corp,5945,Plymouth High School,0.301
5495,Triton School Corporation,5923,Triton Jr-Sr High School,0.333
5520,Shoals Community School Corp,5985,Shoals Community High School,0.097
5525,Loogootee Community Sch Corp,6003,Loogootee High School,0.298
5615,Maconaquah School Corp,6032,Maconaquah High School,0.243
5620,North Miami Community Schools,6049,North Miami Middle/High School,0.206
5625,Oak Hill United School Corp,6069,Oak Hill High School,0.203
5635,Peru Community Schools,6085,Peru Jr/Sr High School,0.154
5705,Richland-Bean Blossom C S C,6146,Edgewood High School,0.263
5740,Monroe County Community Sch Corp,6166,Bloomington High School South,0.552
5740,Monroe County Community Sch Corp,6168,Bloomington High School North,0.489
5740,Monroe County Community Sch Corp,6202,The Acad of Sci & Entrepreneurship,0.619
5740,Monroe County Community Sch Corp,6220,Bloomington Graduation School,0.091
5835,North Montgomery Com Sch Corp,6271,North Montgomery High School,0.246
5845,South Montgomery Com Sch Corp,6257,Southmont Sr High School,0.288
5855,Crawfordsville Community Schools,6277,Crawfordsville Sr High School,0.221
5900,Monroe-Gregg School District,6321,Monrovia High School,0.216
5910,Eminence Community School Corp,6325,Eminence Jr-Sr High School,0.172
5925,MSD Martinsville Schools,6329,Martinsville High School,0.221
5930,Mooresville Con School Corp,6369,Mooresville High School,0.264
5945,North Newton School Corp,6411,North Newton Jr-Sr High School,0.169
5995,South Newton School Corp,6417,South Newton Senior High School,0.082
6055,Central Noble Com School Corp,6453,Central Noble Junior Senior HS,0.148
6060,East Noble School Corporation,6458,East Noble High School,0.257
6065,West Noble School Corporation,6489,West Noble High School,0.156
6080,Rising Sun-Ohio Co Com,6513,Rising Sun High School,0.214
6145,Orleans Community Schools,6573,Orleans Jr-Sr High School,0.206
6155,Paoli Community School Corp,6581,Paoli Jr & Sr High School,0.219
6160,Springs Valley Com School Corp,6589,Springs Valley Comm High School,0.182
6195,Spencer-Owen Community Schools,6613,Owen Valley Community High School,0.238
6260,Southwest Parke Com Sch Corp,6627,Riverton Parke Jr-Sr High School,0.172
6325,Perry Central Com Schools Corp,6708,Perry Central Jr-Sr High School,0.319
6340,Cannelton City Schools,6733,Cannelton Elementary & High School,0.188
6350,Tell City-Troy Twp School Corp,6741,Tell City Jr-Sr High School,0.301
6375,North Central Parke Comm Schl Corp,6654,Parke Heritage High School,0.227
6445,Pike County School Corp,6763,Pike Central High School,0.15
6460,MSD Boone Township,6813,Hebron High School,0.158
6470,Duneland School Corporation,6925,Chesterton Senior High School,0.393
6470,Duneland School Corporation,6926,Trojan Virtual Academy,0.038
6510,East Porter County School Corp,6825,Morgan Township Middle/High School,0.544
6510,East Porter County School Corp,6833,Kouts Middle/High School,0.268
6510,East Porter County School Corp,6849,Washington Twp Middle/High School,0.415
6520,Porter Township School Corp,6838,Boone Grove High School,0.29
6530,Union Township School Corp,6841,Wheeler High School,0.472
6550,Portage Township Schools,6853,Portage High School,0.152
6560,Valparaiso Community Schools,6881,Valparaiso High School,0.501
6590,MSD Mount Vernon,6949,Mount Vernon High School,0.223
6600,MSD North Posey Co Schools,6975,North Posey High School,0.265
6620,Eastern Pulaski Community Sch Corp,6997,Winamac Community High School,0.287
6630,West Central School Corp,7025,West Central Senior High School,0.417
6705,South Putnam Community Schools,7071,South Putnam High School,0.232
6715,North Putnam Community Schools,7061,North Putnam Sr High School,0.374
6750,Cloverdale Community Schools,7077,Cloverdale High School,0.233
6755,Greencastle Community School Corp,7089,Greencastle High School,0.294
6795,Union School Corporation,7119,Union Junior & High School,0.241
6795,Union School Corporation,7131,Indiana Digital JR and High School,0.08
6795,Union School Corporation,7142,Indiana Digital Alternative School,0.032
6805,Randolph Southern School Corp,7121,Randolph Southern Jr-Sr High Sch,0.186
6820,Monroe Central School Corp,7151,Monroe Central Jr-Sr High School,0.282
6825,Randolph Central School Corp,7125,Winchester Community High School,0.224
6835,Randolph Eastern School Corp,7161,Union City Community Jr/Sr High,0.143
6865,South Ripley Com Sch Corp,7182,South Ripley High School,0.179
6895,Batesville Community School Corp,7217,Batesville High School,0.396
6900,Jac-Cen-Del Community Sch Corp,7193,Jac-Cen-Del MS/HS,0.246
6910,Milan Community Schools,7205,Milan High School,0.18
6995,Rush County Schools,7285,Rushville Consolidated High School,0.265
7150,John Glenn School Corporation,7453,John Glenn High School,0.455
7175,Penn-Harris-Madison School Corp,7353,Penn High School,0.438
7200,School City of Mishawaka,7461,Mishawaka High School,0.18
7205,South Bend Community School Corp,7248,South Bend Virtual School,0.111
7205,South Bend Community School Corp,7421,Clay High School,0.109
7205,South Bend Community School Corp,7505,Adams High School,0.26
7205,South Bend Community School Corp,7513,Riley High School,0.132
7205,South Bend Community School Corp,7517,Washington High School,0.036
7205,South Bend Community School Corp,7534,Rise Up Academy at Eggleston,0.026
7205,South Bend Community School Corp,7632,Juvenile Justice Center,NA
7215,Union-North United School Corp,7399,LaVille Jr-Sr High School,0.179
7230,Scott County School District 1,7629,Austin High School,0.107
7255,Scott County School District 2,7641,Scottsburg Senior High School,0.273
7285,Shelby Eastern Schools,7661,Morristown Jr-Sr High School,0.242
7285,Shelby Eastern Schools,7665,Waldron Jr-Sr High School,0.146
7350,Northwestern Con School Corp,7689,Triton Central High School,0.304
7360,Southwestern Con Sch Shelby Co,7701,Southwestern High School,0.2
7365,Shelbyville Central Schools,7717,Shelbyville Sr High School,0.306
7385,North Spencer County Sch Corp,7759,Heritage Hills High School,0.413
7445,South Spencer County Sch Corp,7795,South Spencer High School,0.241
7495,Oregon-Davis School Corp,7831,Oregon-Davis Jr-Sr High School,0.088
7515,North Judson-San Pierre Sch Corp,7849,N Judson-San Pierre Jr Sr High Sch,0.158
7525,Knox Community School Corp,7833,Knox Community High School,0.23
7605,Fremont Community Schools,7877,Fremont High School,0.386
7610,Hamilton Community Schools,7885,Hamilton Community High School,0.304
7615,MSD Steuben County,7893,Angola High School,0.254
7645,Northeast School Corp,7917,North Central Jr/Sr High School,0.095
7715,Southwest School Corporation,7957,Sullivan High School,0.25
7775,Switzerland County School Corp,7993,Switzerland Co Senior High School,0.188
7855,Lafayette School Corporation,8069,Jefferson High School,0.203
7865,Tippecanoe School Corp,8003,McCutcheon High School,0.355
7865,Tippecanoe School Corp,8029,William Henry Harrison High School,0.401
7875,West Lafayette Com School Corp,8129,West Lafayette Jr/Sr High School,0.727
7935,Tri-Central Community Schools,8155,Tri Central Middle-High School,0.293
7945,Tipton Community School Corp,8177,Tipton High School,0.34
7950,Union Co/Clg Corner Joint Sch Dist,8193,Union County High School,0.254
7995,Evansville Vanderburgh School Corp,8207,EVSC Virtual Academy,0.071
7995,Evansville Vanderburgh School Corp,8237,Benjamin Bosse High School,0.083
7995,Evansville Vanderburgh School Corp,8241,Central High School,0.268
7995,Evansville Vanderburgh School Corp,8245,Francis Joseph Reitz High School,0.275
7995,Evansville Vanderburgh School Corp,8253,North High School,0.356
7995,Evansville Vanderburgh School Corp,8270,Academy for Innovative Studies,0
7995,Evansville Vanderburgh School Corp,8271,Harwood Career Prep High School,0.038
7995,Evansville Vanderburgh School Corp,8311,William Henry Harrison High School,0.212
7995,Evansville Vanderburgh School Corp,8326,New Tech Institute,0.388
8010,North Vermillion Com Sch Corp,8394,North Vermillion High School,0.116
8020,South Vermillion Com Sch Corp,8432,South Vermillion High School,0.345
8030,Vigo County School Corp,8441,Terre Haute North Vigo High School,0.225
8030,Vigo County School Corp,8453,West Vigo High School,0.178
8030,Vigo County School Corp,8457,Terre Haute South Vigo High School,0.282
8030,Vigo County School Corp,8483,Vigo Virtual School Academy,0.057
8030,Vigo County School Corp,8611,Booker T Washington Alt Sch,NA
8045,Manchester Community Schools,8625,Manchester Jr-Sr High School,0.342
8050,MSD Wabash County Schools,8651,Northfield Jr-Sr High School,0.219
8050,MSD Wabash County Schools,8655,Southwood Jr-Sr High School,0.328
8050,MSD Wabash County Schools,8673,White's Jr-Sr High School,0.01
8060,Wabash City Schools,8693,Wabash High School,0.267
8115,MSD Warren County,8737,Seeger Memorial Jr-Sr High School,0.191
8130,Warrick County School Corp,8772,Tecumseh High School,0.254
8130,Warrick County School Corp,8789,Boonville High School,0.206
8130,Warrick County School Corp,8809,Castle High School,0.424
8205,Salem Community Schools,8857,Salem High School,0.197
8215,East Washington School Corp,8905,Eastern High School,0.286
8220,West Washington School Corp,8869,West Washington Jr-Sr High School,0.323
8305,Nettle Creek School Corporation,8985,Hagerstown Jr-Sr High School,0.207
8355,Western Wayne Schools,8961,Lincoln Middle/ High School,0.073
8360,Centerville-Abington Com Schs,8981,Centerville Sr High School,0.33
8375,Northeastern Wayne Schools,8927,Northeastern High School,0.078
8385,Richmond Community Schools,8993,Richmond High School,0.162
8385,Richmond Community Schools,9056,Community Youth Services,NA
8425,Southern Wells Com Schools,9058,Southern Wells Jr-Sr High School,0.138
8435,Northern Wells Community Schools,9087,Norwell High School,0.275
8445,MSD Bluffton-Harrison,9089,Bluffton High School,0.358
8515,North White School Corp,9135,North White High School,0.141
8525,Frontier School Corporation,9137,Frontier Jr-Sr High School,0.289
8535,Tri-County School Corporation,9141,Tri-County Jr/Sr High School,0.347
8565,Twin Lakes School Corp,9149,Twin Lakes Senior High School,0.266
8625,Smith-Green Community Schools,9193,Churubusco Jr-Sr High School,0.277
8635,Purdue Polytechnic High Sch North,7782,Purdue Polytechnic High Sch North,0.246
8655,Excel Center - Bloomington,4209,Excel Center - Bloomington,NA
8665,Whitley County Con Schools,9187,Columbia City High School,0.271
8690,Dynamic Minds Academy,8692,Dynamic Minds Academy,NA
8940,James and Rosemary Phalen Leadership Academy High School,9961,James and Rosemary Phalen Leadership Academy High School,0
8960,Purdue Polytechnic High School South Bend,9963,Purdue Polytechnic High School South Bend,0.25
8970,GEO Next Generation Academy,9966,GEO Next Generation Academy,0.036
9000,Phalen Virtual Leadership Academy,9992,Phalen Virtual Leadership Academy,0
9015,Purdue Polytechnic High School Ind,4271,Purdue Polytechnic High School Ind,0.102
9035,Indiana Connections Career Academy,7947,Indiana Connections Career Academy,0.135
9050,Excel Center - Clarksville,2006,Excel Center - Clarksville,0
9100,Indiana Department of Correction,0732,Logansport Juvenile Correctional,0
9100,Indiana Department of Correction,5055,Pendleton Juvenile Correctional,0
9100,Indiana Department of Correction,5452,LaPorte Juvenile Correctional,0
9120,Hoosier College and Career Academy,2528,Hoosier College and Career Academy,0.032
9135,KIPP Indy Legacy High,9138,KIPP Indy Legacy High,0.027
9140,BELIEVE Circle City High School,9994,BELIEVE Circle City High School,0.143
9145,Herron-Riverside High School,1122,Herron-Riverside High School,0.268
9160,Excel Center - Muncie,1016,Excel Center - Muncie,NA
9170,Rooted School Indianapolis,9997,Rooted School Indianapolis,0.062
9200,Archdiocese of Indianapolis,A575,Our Lady Of Providence High School,0.506
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,0.219
9200,Archdiocese of Indianapolis,C320,Roncalli High School,0.519
9200,Archdiocese of Indianapolis,C623,Providence Cristo Rey High School,0.125
9200,Archdiocese of Indianapolis,C700,Cathedral High School,0.618
9200,Archdiocese of Indianapolis,C705,Bishop Chatard High School,0.531
9200,Archdiocese of Indianapolis,C710,Scecina Memorial High School,0.131
9200,Archdiocese of Indianapolis,C715,Cardinal Ritter High School,0.193
9200,Archdiocese of Indianapolis,D135,Oldenburg Academy,0.375
9200,Archdiocese of Indianapolis,D842,Seton Catholic High School,0.273
9205,Diocese of Gary,B760,Andrean High School,0.327
9205,Diocese of Gary,B970,Bishop Noll Institute,0.198
9205,Diocese of Gary,C125,Marquette Catholic High School,0.341
9210,Diocese of Lafayette Catholic Sch,B249,Guerin Catholic High School,0.68
9210,Diocese of Lafayette Catholic Sch,D415,Central Catholic Jr-Sr High School,0.571
9215,Diocese of Evansville,A660,Washington Catholic Mid/High Sch,0.176
9215,Diocese of Evansville,B560,Rivet Middle & High School,0.19
9215,Diocese of Evansville,D530,Mater Dei High School,0.574
9215,Diocese of Evansville,D535,Reitz Memorial High School,0.65
9220,Diocese of Fort Wayne - South Bend,A120,Bishop Dwenger High School,0.457
9220,Diocese of Fort Wayne - South Bend,A125,Bishop Luers High School,0.352
9220,Diocese of Fort Wayne - South Bend,D165,Marian High School,0.441
9220,Diocese of Fort Wayne - South Bend,D225,Saint Joseph High School,0.506
9230,Lutheran Schools of Indiana,A195,Concordia Lutheran High School,0.613
9230,Lutheran Schools of Indiana,B452,Trinity Lutheran High School,0.515
9230,Lutheran Schools of Indiana,C270,Lutheran High School,0.424
9305,Excel Center - Richmond,9012,Excel Center - Richmond,NA
9315,Signature School Inc,8295,Signature School Inc,0.918
9320,Community Montessori Inc,1536,Community Montessori,0.2
9325,Options Charter Schools,2524,Options Westfield,0.132
9325,Options Charter Schools,2551,Options Noblesville,0.077
9325,Options Charter Schools,9329,Options Indiana,0.035
9330,Irvington Community School,1537,Irvington Community School,0.154
9345,Excel Center - Lafayette,8094,Excel Center - Lafayette,0.03
9355,Excel Center - Kokomo,2976,Excel Center - Kokomo,0
9380,Christel House Academy South,9709,Christel House Watanabe Manual High School,0.111
9385,Christel House DORS,5532,Christel House DORS,NA
9445,Charles A Tindley Accelerated Sch,6208,Charles A Tindley Accelerated Sch,0.103
