corp_id,corp_name,schl_id,schl_name,math_prof_pct
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,0.271
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,0.399
0515,Blackford County Schools,0489,Blackford Jr-Sr High School,0.319
0515,Blackford County Schools,0494,Blackford Intermediate School,0.361
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,0.715
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,0.705
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,0.47
0630,Zionsville Community Schools,0510,Zionsville West Middle School,0.571
0630,Zionsville Community Schools,0511,Zionsville Middle School,0.586
0630,Zionsville Community Schools,0514,Eagle Elementary School,0.838
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,0.839
0630,Zionsville Community Schools,0541,Union Elementary School,0.76
0630,Zionsville Community Schools,0542,Stonegate Elementary,0.772
0630,Zionsville Community Schools,0544,Boone Meadow,0.87
0630,Zionsville Community Schools,0546,Trailside Elementary School,0.768
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,0.552
0665,Lebanon Community School Corp,0557,Lebanon Middle School,0.382
0665,Lebanon Community School Corp,0561,Central Elementary School,0.735
0665,Lebanon Community School Corp,0565,Harney Elementary School,0.261
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,0.306
0670,Brown County School Corporation,0577,Van Buren Elementary School,0.512
0670,Brown County School Corporation,0581,Helmsburg Elementary School,0.439
0670,Brown County School Corporation,0585,Sprunica Elementary School,0.5
0670,Brown County School Corporation,0587,Brown County Middle School,0.286
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,0.238
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,0.525
0755,Delphi Community School Corp,0609,Delphi Community Middle School,0.273
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,0.415
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,0.416
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,0.253
0815,Lewis Cass Schools,0691,Lewis Cass Junior High School,0.31
0815,Lewis Cass Schools,0695,Lewis Cass Elementary School,0.402
0875,Logansport Community Sch Corp,0701,Logansport Community High School,NA
0875,Logansport Community Sch Corp,0702,Logansport Junior High School,0.115
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,0.205
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,0.309
0875,Logansport Community Sch Corp,0711,Landis Elementary School,0.368
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,0.259
0875,Logansport Community Sch Corp,0715,Logansport Intermediate School,0.156
0875,Logansport Community Sch Corp,0719,The Academy at Logansport Community School,0
0935,Borden-Henryville School Corporation,0765,Henryville Jr & Sr High School,0.133
0935,Borden-Henryville School Corporation,0767,Henryville Elementary School,0.458
0935,Borden-Henryville School Corporation,0813,William W Borden High School,0.298
0935,Borden-Henryville School Corporation,0815,William W Borden Elementary School,0.517
0945,Silver Creek School Corporation,0781,Silver Creek Middle School,0.394
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.439
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,0.468
1000,Clarksville Community School Corp,0851,Clarksville Middle School,0.188
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.058
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.358
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.429
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.356
1010,Greater Clark County Schools,0805,Utica Elementary School,0.669
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.447
1010,Greater Clark County Schools,0809,New Washington Middle/High School,0.246
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.462
1010,Greater Clark County Schools,0853,Parkview Middle School,0.246
1010,Greater Clark County Schools,0863,Charlestown Middle School,0.319
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.492
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.168
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.193
1010,Greater Clark County Schools,0883,River Valley Middle School,0.223
1010,Greater Clark County Schools,0886,Old Corden Porter School,NA
1125,Clay Community Schools,0895,Clay City Elementary School,0.723
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,0.382
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.677
1125,Clay Community Schools,0907,Staunton Elementary School,0.734
1125,Clay Community Schools,0923,Van Buren Elementary School,0.641
1125,Clay Community Schools,0925,North Clay Middle School,0.397
1125,Clay Community Schools,0941,East Side Elementary School,0.57
1125,Clay Community Schools,0942,Forest Park Elementary School,0.352
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.615
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,0.177
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.567
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,0.335
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.564
1170,Community Schools of Frankfort,0999,Frankfort Middle School,0.285
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.466
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.326
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,0.476
1180,Rossville Con School District,1033,Rossville Elementary School,0.564
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,0.4
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.489
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,NA
1300,Crawford County Community Sch Corp,1061,Crawford County Middle School,0.309
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.677
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0.655
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.75
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.367
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,0.253
1405,Washington Community Schools,1103,Washington Intermediate,0.341
1405,Washington Community Schools,1105,Veale Elementary School,0.579
1405,Washington Community Schools,1123,Washington Junior High School,0.292
1405,Washington Community Schools,1129,Washington Upper Elementary,0.261
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.679
1560,Sunman-Dearborn Com Sch Corp,1190,East Central Middle School,0.404
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.508
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.487
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.642
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.472
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,0.225
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.321
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,0.285
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.518
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,0.235
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.515
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.609
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,0.396
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,0.327
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.558
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,0.285
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.253
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.62
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.349
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,0.294
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.378
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,0.331
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.626
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.513
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.401
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.678
1875,Delaware Community School Corp,1367,Delta Middle School,0.33
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.641
1875,Delaware Community School Corp,1520,Albany Elementary School,0.623
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,0.348
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.552
1895,Liberty-Perry Community Sch Corp,1377,Selma Middle School,0.524
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.721
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.429
1900,Cowan Community School Corp,1386,Cowan High School,0.236
1910,Yorktown Community Schools,1387,Yorktown Middle School,0.412
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.625
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,0.32
1940,Daleville Community Schools,1405,Daleville Elementary School,0.436
1970,Muncie Community Schools,1431,Northside Middle School,0.191
1970,Muncie Community Schools,1437,Southside Middle School,0.042
1970,Muncie Community Schools,1470,Grissom Elementary School,0.158
1970,Muncie Community Schools,1482,South View Elementary School,0.067
1970,Muncie Community Schools,1485,Longfellow Elementary School,0.122
1970,Muncie Community Schools,1496,North View Elementary School,0.472
1970,Muncie Community Schools,1500,Muncie Virtual Academy,0.042
1970,Muncie Community Schools,1513,East Washington Academy,0.472
1970,Muncie Community Schools,1517,West View Elementary School,0.395
1970,Muncie Community Schools,1524,Youth Opportunity Center,0
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,0.483
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.716
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,0.743
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,0.756
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,0.532
2100,Southeast Dubois Co Sch Corp,1586,Cedar Crest Intermediate School,0.711
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,0.667
2110,Southwest Dubois Co Sch Corp,1587,Southridge Middle School,0.515
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,0.528
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,0.827
2120,Greater Jasper Consolidated Schs,1575,Jasper Middle School,0.468
2120,Greater Jasper Consolidated Schs,1601,Jasper Elementary School,0.541
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,0.329
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,0.57
2155,Fairfield Community Schools,1649,New Paris Elementary School,0.616
2155,Fairfield Community Schools,1652,Benton Elementary School,0.66
2260,Baugo Community Schools,1703,Jimtown Junior High School,0.556
2260,Baugo Community Schools,1707,Jimtown Intermediate School,0.732
2270,Concord Community Schools,1713,Concord Junior High School,0.24
2270,Concord Community Schools,1718,Concord Intermediate School,0.319
2270,Concord Community Schools,1721,Concord East Side Elementary Sch,0.502
2270,Concord Community Schools,1723,Concord Ox Bow Elementary School,0.432
2270,Concord Community Schools,1725,Concord South Side Elementary Sch,0.281
2270,Concord Community Schools,1729,Concord West Side Elem School,0.254
2275,Middlebury Community Schools,1656,Jefferson Elementary School,0.702
2275,Middlebury Community Schools,1657,Northridge Middle School,0.479
2275,Middlebury Community Schools,1697,York Elementary School,0.391
2275,Middlebury Community Schools,1731,Heritage Intermediate School,0.465
2275,Middlebury Community Schools,1732,Middlebury Elementary School,0.773
2275,Middlebury Community Schools,1734,Orchard View School,0.644
2285,Wa-Nee Community Schools,1669,North Wood Middle School,0.62
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,0.69
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,0.687
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,0.62
2305,Elkhart Community Schools,1617,Cleveland Elementary School,0.282
2305,Elkhart Community Schools,1673,Osolo Elementary School,0.294
2305,Elkhart Community Schools,1679,Eastwood Elementary School,0.3
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,0.216
2305,Elkhart Community Schools,1693,Bristol Elementary School,0.178
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,0
2305,Elkhart Community Schools,1753,North Side Middle School,0.101
2305,Elkhart Community Schools,1761,West Side Middle School,0.213
2305,Elkhart Community Schools,1763,Pierre Moran Middle School,0.139
2305,Elkhart Community Schools,1765,Beardsley Elementary School,0.076
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,0.065
