corp_id,corp_name,schl_id,schl_name,sc_prof_pct
0630,Zionsville Community Schools,0544,Boone Meadow,0.793
0630,Zionsville Community Schools,0546,Trailside Elementary School,0.682
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,0.417
0665,Lebanon Community School Corp,0557,Lebanon Middle School,0.415
0665,Lebanon Community School Corp,0561,Central Elementary School,0.491
0665,Lebanon Community School Corp,0565,Harney Elementary School,0.29
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,0.24
0670,Brown County School Corporation,0577,Van Buren Elementary School,0.425
0670,Brown County School Corporation,0581,Helmsburg Elementary School,0.465
0670,Brown County School Corporation,0585,Sprunica Elementary School,0.297
0670,Brown County School Corporation,0587,Brown County Middle School,0.5
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,0.462
0755,Delphi Community School Corp,0609,Delphi Community Middle School,0.442
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,0.349
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,NA
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,0.326
0815,Lewis Cass Schools,0691,Lewis Cass Junior High School,0.337
0815,Lewis Cass Schools,0695,Lewis Cass Elementary School,0.274
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,0.328
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,0.226
0875,Logansport Community Sch Corp,0711,Landis Elementary School,0.323
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,0.25
0875,Logansport Community Sch Corp,0715,Logansport Intermediate School,0.234
0875,Logansport Community Sch Corp,0719,The Academy at Logansport Community School,NA
0935,Borden-Henryville School Corporation,0767,Henryville Elementary School,0.306
0935,Borden-Henryville School Corporation,0815,William W Borden Elementary School,0.386
0945,Silver Creek School Corporation,0781,Silver Creek Middle School,0.335
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.312
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,0.312
1000,Clarksville Community School Corp,0851,Clarksville Middle School,0.392
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.092
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.216
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.367
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.229
1010,Greater Clark County Schools,0805,Utica Elementary School,0.488
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.333
