stlmt_corp_name,stlmt_corp_id,nrl_schl_name,nrl_schl_id,yr,xfr_sqrt,clr,stlmt_lon,stlmt_lat,nrl_lat,nrl_lon,typ,tot_xfr,fillcolor,fname,weight,color,pct_of_xfr,log,minutes
Plymouth Community School Corporation,5485,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.3019755,41.3461484,39.5109654,-86.78998399999999,Public,2,#d95f02,5485-6750,0,NA,0.41,-0.8915981192837836,156.15
Plymouth Community School Corporation,5485,Union School Corporation,6795,2023,4.69041575982343,#0868ac,-86.3019755,41.3461484,40.0481017,-85.1251322,Public,22,#d95f02,5485-6795,0,NA,4.55,1.5151272329628591,152.55
Triton School Corporation,5495,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-86.11128269999999,41.3010524,38.302952,-85.76037,Public,3,#d95f02,5495-1000,0,NA,2.63,0.9669838461896731,220.08333333333334
Triton School Corporation,5495,Union School Corporation,6795,2023,2.6457513110645907,#0868ac,-86.11128269999999,41.3010524,40.0481017,-85.1251322,Public,7,#d95f02,5495-6795,0,NA,6.14,1.814824742159051,146.31666666666666
Shoals Community School Corporation,5520,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-86.7769058,38.6680948,38.302952,-85.76037,Public,2,#d95f02,5520-1000,0,NA,3.08,1.1249295969854831,90.1
Shoals Community School Corporation,5520,Union School Corporation,6795,2023,1.7320508075688772,#0868ac,-86.7769058,38.6680948,40.0481017,-85.1251322,Public,3,#d95f02,5520-6795,0,NA,4.62,1.5303947050936475,174.48333333333332
Loogootee Community School Corporation,5525,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.9141695,38.6769945,38.302952,-85.76037,Public,1,#d95f02,5525-1000,0,NA,0.55,-0.5978370007556204,116.93333333333334
Loogootee Community School Corporation,5525,Union School Corporation,6795,2023,1,#0868ac,-86.9141695,38.6769945,40.0481017,-85.1251322,Public,1,#d95f02,5525-6795,0,NA,0.55,-0.5978370007556204,159.95
Maconaquah School Corporation,5615,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-86.0597312,40.6511247,38.302952,-85.76037,Public,10,#d95f02,5615-1000,0,NA,2.31,0.8372475245337022,177.7
Maconaquah School Corporation,5615,Eastern Howard School Corporation,3480,2023,3.1622776601683795,#0868ac,-86.0597312,40.6511247,40.475289,-85.966644,Public,10,#d95f02,5615-3480,0,NA,2.31,0.8372475245337022,24.2
Maconaquah School Corporation,5615,Union School Corporation,6795,2023,3,#0868ac,-86.0597312,40.6511247,40.0481017,-85.1251322,Public,9,#d95f02,5615-6795,0,NA,2.08,0.7323678937132266,101.81666666666666
North Miami Community Schools,5620,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.0779475,40.8640309,38.302952,-85.76037,Public,1,#d95f02,5620-1000,0,NA,0.7,-0.35667494393873245,197.21666666666667
North Miami Community Schools,5620,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-86.0779475,40.8640309,40.0481017,-85.1251322,Public,5,#d95f02,5620-6795,0,NA,3.5,1.252762968495368,118.75
Oak Hill United School Corporation,5625,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-85.8254655,40.5731528,38.302952,-85.76037,Public,2,#d95f02,5625-1000,0,NA,1.74,0.5538851132264376,182.73333333333332
Oak Hill United School Corporation,5625,Eastern Howard School Corporation,3480,2023,3.605551275463989,#0868ac,-85.8254655,40.5731528,40.475289,-85.966644,Public,13,#d95f02,5625-3480,0,NA,11.3,2.424802725718295,18.316666666666666
Oak Hill United School Corporation,5625,Union School Corporation,6795,2023,3,#0868ac,-85.8254655,40.5731528,40.0481017,-85.1251322,Public,9,#d95f02,5625-6795,0,NA,7.83,2.057962510002712,81.73333333333333
Peru Community Schools,5635,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-86.0693482,40.7522623,38.302952,-85.76037,Public,10,#d95f02,5635-1000,0,NA,2.3,0.8329091229351039,186.31666666666666
Peru Community Schools,5635,Union School Corporation,6795,2023,6.164414002968976,#0868ac,-86.0693482,40.7522623,40.0481017,-85.1251322,Public,38,#d95f02,5635-6795,0,NA,8.74,2.167910189667444,109.18333333333334
Richland-Bean Blossom Community School Corporation,5705,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.63371099999999,39.2361338,38.302952,-85.76037,Public,1,#d95f02,5705-1000,0,NA,0.25,-1.3862943611198906,115.15
Richland-Bean Blossom Community School Corporation,5705,Cloverdale Community Schools,6750,2023,2,#0868ac,-86.63371099999999,39.2361338,39.5109654,-86.78998399999999,Public,4,#d95f02,5705-6750,0,NA,1,0,29.316666666666666
Richland-Bean Blossom Community School Corporation,5705,Union School Corporation,6795,2023,2,#0868ac,-86.63371099999999,39.2361338,40.0481017,-85.1251322,Public,4,#d95f02,5705-6795,0,NA,1,0,126.05
Monroe County Community School Corporation,5740,Clarksville Community School Corporation,1000,2023,2.449489742783178,#0868ac,-86.5304883,39.1449559,38.302952,-85.76037,Public,6,#d95f02,5740-1000,0,NA,0.48,-0.7339691750802004,99.25
Monroe County Community School Corporation,5740,Cloverdale Community Schools,6750,2023,4.358898943540674,#0868ac,-86.5304883,39.1449559,39.5109654,-86.78998399999999,Public,19,#d95f02,5740-6750,0,NA,1.51,0.412109650826833,50.05
Monroe County Community School Corporation,5740,Union School Corporation,6795,2023,6.557438524302,#0868ac,-86.5304883,39.1449559,40.0481017,-85.1251322,Public,43,#d95f02,5740-6795,0,NA,3.42,1.229640551074514,132.16666666666666
North Montgomery Community School Corporation,5835,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-86.9131438,40.12358649999999,38.302952,-85.76037,Public,3,#d95f02,5835-1000,0,NA,1.09,0.08617769624105241,154.98333333333332
North Montgomery Community School Corporation,5835,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.9131438,40.12358649999999,39.5109654,-86.78998399999999,Public,2,#d95f02,5835-6750,0,NA,0.73,-0.31471074483970024,71.61666666666666
North Montgomery Community School Corporation,5835,Union School Corporation,6795,2023,4.898979485566356,#0868ac,-86.9131438,40.12358649999999,40.0481017,-85.1251322,Public,24,#d95f02,5835-6795,0,NA,8.76,2.1701959049483,126.71666666666667
