corp_id,corp_name,schl_id,schl_name,IREAD_pct
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.753
1000,Clarksville Community School Corp,0845,Clarksville Elementary School,0.858
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.459
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.77
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.94
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.843
1010,Greater Clark County Schools,0805,Utica Elementary School,0.955
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.895
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.898
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.882
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.61
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.759
1125,Clay Community Schools,0895,Clay City Elementary School,0.974
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.945
1125,Clay Community Schools,0907,Staunton Elementary School,0.952
1125,Clay Community Schools,0923,Van Buren Elementary School,0.898
1125,Clay Community Schools,0941,East Side Elementary School,NA
1125,Clay Community Schools,0942,Forest Park Elementary School,NA
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.919
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.841
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.922
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.841
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.728
1180,Rossville Con School District,1033,Rossville Elementary School,0.859
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,NA
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.736
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.728
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.886
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.917
1405,Washington Community Schools,1103,Washington Intermediate,0.746
1405,Washington Community Schools,1105,Veale Elementary School,NA
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.939
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.926
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.835
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.827
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.95
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.91
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.946
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.862
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.947
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.942
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.885
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.955
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.79
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.862
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.942
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.752
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.695
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.948
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.917
1875,Delaware Community School Corp,1520,Albany Elementary School,0.887
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.931
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.91
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.83
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.887
1940,Daleville Community Schools,1405,Daleville Elementary School,0.935
1970,Muncie Community Schools,1470,Grissom Elementary School,0.523
1970,Muncie Community Schools,1482,South View Elementary School,NA
1970,Muncie Community Schools,1485,Longfellow Elementary School,NA
1970,Muncie Community Schools,1496,North View Elementary School,0.893
1970,Muncie Community Schools,1500,Muncie Virtual Academy,NA
1970,Muncie Community Schools,1513,East Washington Academy,0.769
1970,Muncie Community Schools,1517,West View Elementary School,0.821
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.985
2100,Southeast Dubois Co Sch Corp,1563,Pine Ridge Elementary School,0.893
2100,Southeast Dubois Co Sch Corp,1581,Ferdinand Elementary School,0.927
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,0.914
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,0.846
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,NA
2120,Greater Jasper Consolidated Schs,1601,Jasper Elementary School,0.875
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,0.873
2155,Fairfield Community Schools,1649,New Paris Elementary School,0.829
2155,Fairfield Community Schools,1652,Benton Elementary School,0.899
2260,Baugo Community Schools,1707,Jimtown Intermediate School,0.885
2270,Concord Community Schools,1721,Concord East Side Elementary Sch,0.772
2270,Concord Community Schools,1723,Concord Ox Bow Elementary School,0.838
2270,Concord Community Schools,1725,Concord South Side Elementary Sch,0.681
2270,Concord Community Schools,1729,Concord West Side Elem School,0.629
2275,Middlebury Community Schools,1656,Jefferson Elementary School,0.861
2275,Middlebury Community Schools,1697,York Elementary School,0.805
2275,Middlebury Community Schools,1731,Heritage Intermediate School,NA
2275,Middlebury Community Schools,1732,Middlebury Elementary School,0.906
2275,Middlebury Community Schools,1734,Orchard View School,0.849
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,0.901
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,0.98
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,0.858
2305,Elkhart Community Schools,1617,Cleveland Elementary School,0.747
2305,Elkhart Community Schools,1673,Osolo Elementary School,0.693
2305,Elkhart Community Schools,1679,Eastwood Elementary School,0.767
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,0.722
2305,Elkhart Community Schools,1693,Bristol Elementary School,0.614
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,NA
2305,Elkhart Community Schools,1765,Beardsley Elementary School,0.436
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,NA
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,0.601
2305,Elkhart Community Schools,1785,Pinewood Elementary School,0.7
2305,Elkhart Community Schools,1789,Monger Elementary School,0.714
2305,Elkhart Community Schools,1797,Riverview Elementary School,0.737
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy,0.658
2305,Elkhart Community Schools,1817,Woodland Elementary School,0.676
2315,Goshen Community Schools,1633,Model Elementary School,0.736
2315,Goshen Community Schools,1641,Waterford Elementary School,0.787
2315,Goshen Community Schools,1829,Chamberlain Elementary School,0.906
2315,Goshen Community Schools,1833,Chandler Elementary School,NA
2315,Goshen Community Schools,1843,Parkside Elementary School,0.824
2315,Goshen Community Schools,1847,Prairie View Elementary School,0.829
2315,Goshen Community Schools,1849,West Goshen Elementary School,NA
2395,Fayette County School Corporation,1869,Everton Elementary School,0.774
2395,Fayette County School Corporation,1897,Eastview Elementary School,0.751
2395,Fayette County School Corporation,1909,Frazee Elementary School,0.768
2395,Fayette County School Corporation,1913,Grandview Elementary School,NA
2395,Fayette County School Corporation,1921,Fayette Central Elementary,0.857
2400,New Albany-Floyd Co Con Sch,1929,Georgetown Elementary School,0.899
2400,New Albany-Floyd Co Con Sch,1943,Slate Run Elementary School,0.801
2400,New Albany-Floyd Co Con Sch,1949,Fairmont Elementary School,0.803
2400,New Albany-Floyd Co Con Sch,1953,Greenville Elementary School,0.819
2400,New Albany-Floyd Co Con Sch,1957,Grant Line Elementary School,0.924
2400,New Albany-Floyd Co Con Sch,1961,Green Valley Elementary School,0.853
2400,New Albany-Floyd Co Con Sch,1966,Floyds Knobs Elementary School,0.943
2400,New Albany-Floyd Co Con Sch,1974,Mount Tabor Elementary School,0.846
2400,New Albany-Floyd Co Con Sch,1981,S Ellen Jones Elementary School,0.698
2435,Attica Consolidated School Corp,2057,Attica Elementary School,0.882
