corp_id,corp_name,in_stlmt_tot,res_nrl,public_xfr_in,public_xfr_out,net_pub_xfr,xfr_ch_schlsp_out,net_xfr,xfr_out_tot,xfr_out_tot_rate,xfr_in_rate,pr_xfr_out_rate,net_xfr_rate,yr
6835,Randolph Eastern School Corp,915,840,30,75,-45,0,-45,75,8,3,0,-5,2018-08-01
6865,South Ripley Com Sch Corp,1231,1089,104,124,-20,18,-38,142,12,8,1,-3,2018-08-01
6895,Batesville Community School Corp,2097,1955,244,50,194,92,102,142,7,12,4,5,2018-08-01
6900,Jac-Cen-Del Community Sch Corp,894,747,83,147,-64,0,-64,147,16,9,0,-7,2018-08-01
6910,Milan Community Schools,1062,945,213,109,104,8,96,117,11,20,1,9,2018-08-01
6995,Rush County Schools,2292,1965,104,270,-166,57,-223,327,14,5,2,-10,2018-08-01
7150,John Glenn School Corporation,1669,1506,414,137,277,26,251,163,10,25,2,15,2018-08-01
7175,Penn-Harris-Madison School Corp,10140,9465,1680,377,1303,299,1004,676,7,17,3,10,2018-08-01
7200,School City of Mishawaka,5458,4672,511,499,12,288,-276,787,14,9,5,-5,2018-08-01
7205,South Bend Community School Corp,23332,16733,67,3975,-3908,2627,-6535,6602,28,0,11,-28,2018-08-01
7215,Union-North United School Corp,1145,851,329,282,47,12,35,294,26,29,1,3,2018-08-01
7230,Scott County School District 1,1333,1195,3,119,-116,20,-136,139,10,0,2,-10,2018-08-01
7255,Scott County School District 2,2653,2509,143,102,41,42,-1,144,5,5,2,-0,2018-08-01
7285,Shelby Eastern Schools,1277,1010,124,266,-142,1,-143,267,21,10,0,-11,2018-08-01
7350,Northwestern Con School Corp,1318,1224,236,82,154,13,141,95,7,18,1,11,2018-08-01
7360,Southwestern Con Sch Shelby Co,619,507,77,106,-29,6,-35,112,18,12,1,-6,2018-08-01
7365,Shelbyville Central Schools,3920,3669,159,197,-38,54,-92,251,6,4,1,-2,2018-08-01
7385,North Spencer County Sch Corp,1998,1870,45,114,-69,14,-83,128,6,2,1,-4,2018-08-01
7445,South Spencer County Sch Corp,1273,1185,31,29,2,59,-57,88,7,2,5,-4,2018-08-01
7495,Oregon-Davis School Corp,660,411,140,246,-106,3,-109,249,38,21,0,-17,2018-08-01
7515,North Judson-San Pierre Sch Corp,1259,987,35,220,-185,53,-238,273,22,3,4,-19,2018-08-01
7525,Knox Community School Corp,1837,1628,220,206,14,3,11,209,11,12,0,1,2018-08-01
7605,Fremont Community Schools,1030,944,3,83,-80,3,-83,86,8,0,0,-8,2018-08-01
7610,Hamilton Community Schools,417,245,39,168,-129,4,-133,172,41,9,1,-32,2018-08-01
7615,M S D Steuben County,2641,2502,255,136,119,5,114,141,5,10,0,4,2018-08-01
7645,Northeast School Corp,1300,794,44,505,-461,2,-463,507,39,3,0,-36,2018-08-01
7715,Southwest School Corporation,1760,1527,186,233,-47,0,-47,233,13,11,0,-3,2018-08-01
7775,Switzerland County School Corp,1525,1436,23,86,-63,5,-68,91,6,2,0,-4,2018-08-01
7855,Lafayette School Corporation,8048,7363,307,228,79,458,-379,686,9,4,6,-5,2018-08-01
7865,Tippecanoe School Corp,14045,13010,226,651,-425,386,-811,1037,7,2,3,-6,2018-08-01
7875,West Lafayette Com School Corp,2280,2239,136,27,109,14,95,41,2,6,1,4,2018-08-01
7935,Tri-Central Community Schools,676,566,176,110,66,0,66,110,16,26,0,10,2018-08-01
7945,Tipton Community School Corp,1637,1448,94,189,-95,1,-96,190,12,6,0,-6,2018-08-01
7950,Union Co/Clg Corner Joint Sch Dist,1327,1278,77,49,28,0,28,49,4,6,0,2,2018-08-01
7995,Evansville Vanderburgh School Corp,24660,22036,142,1037,-895,1589,-2484,2626,11,1,6,-10,2018-08-01
8010,North Vermillion Com Sch Corp,729,684,74,45,29,0,29,45,6,10,0,4,2018-08-01
8020,South Vermillion Com Sch Corp,1829,1668,45,161,-116,0,-116,161,9,2,0,-6,2018-08-01
8030,Vigo County School Corp,15119,14369,105,587,-482,164,-646,751,5,1,1,-4,2018-08-01
8045,Manchester Community Schools,1529,1431,152,79,73,20,53,99,6,10,1,3,2018-08-01
8050,M S D Wabash County Schools,1971,1599,534,346,188,26,162,372,19,27,1,8,2018-08-01
8060,Wabash City Schools,1527,1199,304,313,-9,15,-24,328,21,20,1,-2,2018-08-01
8115,M S D Warren County,1380,1323,0,56,-56,1,-57,57,4,0,0,-4,2018-08-01
8130,Warrick County School Corp,10560,10030,167,306,-139,225,-364,531,5,2,2,-3,2018-08-01
8205,Salem Community Schools,1950,1747,157,201,-44,2,-46,203,10,8,0,-2,2018-08-01
8215,East Washington School Corp,1518,1332,85,184,-99,2,-101,186,12,6,0,-7,2018-08-01
8220,West Washington School Corp,767,653,138,113,25,1,24,114,15,18,0,3,2018-08-01
8305,Nettle Creek School Corporation,992,901,172,88,84,3,81,91,9,17,0,8,2018-08-01
8355,Western Wayne Schools,970,876,77,88,-11,6,-17,94,10,8,1,-2,2018-08-01
8360,Centerville-Abington Com Schs,1473,1384,347,66,281,23,258,89,6,24,2,18,2018-08-01
8375,Northeastern Wayne Schools,964,906,359,50,309,8,301,58,6,37,1,31,2018-08-01
8385,Richmond Community Schools,5609,4604,87,761,-674,247,-921,1008,18,2,4,-16,2018-08-01
8425,Southern Wells Com Schools,657,576,301,79,222,2,220,81,12,46,0,33,2018-08-01
8435,Northern Wells Community Schools,2408,2110,343,269,74,29,45,298,12,14,1,2,2018-08-01
8445,M S D Bluffton-Harrison,1470,1327,276,141,135,2,133,143,10,19,0,9,2018-08-01
8515,North White School Corp,1017,852,18,163,-145,2,-147,165,16,2,0,-14,2018-08-01
8525,Frontier School Corporation,667,601,69,61,8,5,3,66,10,10,1,0,2018-08-01
