corp_id,corp_name,in_stlmt_tot,res_nrl,public_xfr_in,public_xfr_out,net_pub_xfr,xfr_ch_schlsp_out,net_xfr,xfr_out_tot,xfr_out_tot_rate,xfr_in_rate,pr_xfr_out_rate,net_xfr_rate,yr
0015,Adams Central Community Schools,1019,933,352,73,279,13,266,86,8,35,1,26,2023-08-01
0025,North Adams Community Schools,2051,1461,99,380,-281,210,-491,590,29,5,10,-24,2023-08-01
0035,South Adams Schools,1288,1200,69,85,-16,3,-19,88,7,5,0,-1,2023-08-01
0125,MSD Southwest Allen County Schls,8308,7629,108,184,-76,495,-571,679,8,1,6,-7,2023-08-01
0225,Northwest Allen County Schools,8881,8071,66,306,-240,504,-744,810,9,1,6,-8,2023-08-01
0235,Fort Wayne Community Schools,35236,27537,25,2540,-2515,5159,-7674,7699,22,0,15,-22,2023-08-01
0255,East Allen County Schools,11171,9044,914,603,311,1524,-1213,2127,19,8,14,-11,2023-08-01
0365,Bartholomew Con School Corp,12281,11086,330,437,-107,758,-865,1195,10,3,6,-7,2023-08-01
0370,Flat Rock-Hawcreek School Corp,848,749,213,84,129,15,114,99,12,25,2,13,2023-08-01
0395,Benton Community School Corp,1780,1537,56,146,-90,97,-187,243,14,3,5,-11,2023-08-01
0515,Blackford County Schools,1752,1446,49,305,-256,1,-257,306,17,3,0,-15,2023-08-01
0615,Western Boone Co Com Sch Dist,1484,1359,230,110,120,15,105,125,8,15,1,7,2023-08-01
0630,Zionsville Community Schools,7778,7580,71,115,-44,83,-127,198,3,1,1,-2,2023-08-01
0665,Lebanon Community School Corp,3775,3355,96,335,-239,85,-324,420,11,3,2,-9,2023-08-01
0670,Brown County School Corporation,1810,1501,52,282,-230,27,-257,309,17,3,1,-14,2023-08-01
0750,Carroll Consolidated School Corp,1101,953,83,136,-53,12,-65,148,13,8,1,-6,2023-08-01
0755,Delphi Community School Corp,1405,1259,102,127,-25,19,-44,146,10,7,1,-3,2023-08-01
0775,Pioneer Regional School Corp,973,889,22,84,-62,0,-62,84,9,2,0,-6,2023-08-01
0815,Lewis Cass Schools,1305,1084,244,219,25,2,23,221,17,19,0,2,2023-08-01
0875,Logansport Community Sch Corp,4378,4131,172,244,-72,3,-75,247,6,4,0,-2,2023-08-01
0935,Borden-Henryville School Corp,2002,1412,253,516,-263,74,-337,590,29,13,4,-17,2023-08-01
0945,Silver Creek School Corporation,3127,2394,673,529,144,204,-60,733,23,22,7,-2,2023-08-01
1000,Clarksville Community School Corp,1413,960,2859,377,2482,76,2406,453,32,202,5,170,2023-08-01
1010,Greater Clark County Schools,11850,9609,404,1727,-1323,514,-1837,2241,19,3,4,-16,2023-08-01
1125,Clay Community Schools,3928,3702,250,220,30,6,24,226,6,6,0,1,2023-08-01
1150,Clinton Central School Corporation,840,688,177,146,31,6,25,152,18,21,1,3,2023-08-01
1160,Clinton Prairie School Corporation,1076,928,253,120,133,28,105,148,14,24,3,10,2023-08-01
1170,Community Schools of Frankfort,3409,2879,79,505,-426,25,-451,530,16,2,1,-13,2023-08-01
1180,Rossville Con School District,826,761,180,36,144,29,115,65,8,22,4,14,2023-08-01
1300,Crawford County Community Sch Corp,1534,1288,43,241,-198,5,-203,246,16,3,0,-13,2023-08-01
1315,Barr-Reeve Community Schools Inc,758,698,322,58,264,2,262,60,8,42,0,35,2023-08-01
1375,North Daviess Com Schools,1011,914,193,87,106,10,96,97,10,19,1,9,2023-08-01
1405,Washington Community Schools,3006,2434,15,379,-364,193,-557,572,19,0,6,-19,2023-08-01
1560,Sunman-Dearborn Com Sch Corp,4001,3496,276,357,-81,148,-229,505,13,7,4,-6,2023-08-01
1600,South Dearborn Community Sch Corp,2471,1813,133,540,-407,118,-525,658,27,5,5,-21,2023-08-01
1620,Lawrenceburg Community School Corp,1819,1647,445,127,318,45,273,172,9,24,2,15,2023-08-01
1655,Decatur County Community Schools,1853,1498,309,332,-23,23,-46,355,19,17,1,-2,2023-08-01
1730,Greensburg Community Schools,2174,1900,151,256,-105,18,-123,274,13,7,1,-6,2023-08-01
1805,DeKalb Co Eastern Com Sch Dist,1227,1083,195,126,69,18,51,144,12,16,1,4,2023-08-01
1820,Garrett-Keyser-Butler Com Sch Corp,1631,1425,266,142,124,64,60,206,13,16,4,4,2023-08-01
1835,DeKalb Co Ctl United Sch Dist,3855,3240,241,404,-163,211,-374,615,16,6,5,-10,2023-08-01
1875,Delaware Community School Corp,2626,2216,385,387,-2,23,-25,410,16,15,1,-1,2023-08-01
1885,Wes-Del Community Schools,727,585,251,128,123,14,109,142,20,35,2,15,2023-08-01
1895,Liberty-Perry Community Sch Corp,930,765,405,157,248,8,240,165,18,44,1,26,2023-08-01
1900,Cowan Community School Corp,528,414,382,108,274,6,268,114,22,72,1,51,2023-08-01
1910,Yorktown Community Schools,2409,2137,582,235,347,37,310,272,11,24,2,13,2023-08-01
1940,Daleville Community Schools,638,496,532,124,408,18,390,142,22,83,3,61,2023-08-01
1970,Muncie Community Schools,7194,4678,183,2370,-2187,146,-2333,2516,35,3,2,-32,2023-08-01
2040,Northeast Dubois Co Sch Corp,775,701,75,68,7,6,1,74,10,10,1,0,2023-08-01
2100,Southeast Dubois Co Sch Corp,1174,1097,112,75,37,2,35,77,7,10,0,3,2023-08-01
2110,Southwest Dubois Co Sch Corp,1808,1712,166,90,76,6,70,96,5,9,0,4,2023-08-01
2120,Greater Jasper Consolidated Schs,3327,3002,168,147,21,178,-157,325,10,5,5,-5,2023-08-01
2155,Fairfield Community Schools,2025,1819,350,179,171,27,144,206,10,17,1,7,2023-08-01
2260,Baugo Community Schools,1709,1490,303,166,137,53,84,219,13,18,3,5,2023-08-01
2270,Concord Community Schools,5102,4546,800,394,406,162,244,556,11,16,3,5,2023-08-01
2275,Middlebury Community Schools,4142,3739,525,316,209,87,122,403,10,13,2,3,2023-08-01
2285,Wa-Nee Community Schools,2851,2652,267,152,115,47,68,199,7,9,2,2,2023-08-01
2305,Elkhart Community Schools,13469,10929,261,1958,-1697,582,-2279,2540,19,2,4,-17,2023-08-01
2315,Goshen Community Schools,6705,5731,457,611,-154,363,-517,974,15,7,5,-8,2023-08-01
2395,Fayette County School Corporation,3333,2969,66,258,-192,106,-298,364,11,2,3,-9,2023-08-01
2400,New Albany-Floyd Co Con Sch,11910,10355,918,979,-61,576,-637,1555,13,8,5,-5,2023-08-01
2435,Attica Consolidated School Corp,558,490,38,63,-25,5,-30,68,12,7,1,-5,2023-08-01
2440,Covington Community School Corp,836,739,83,59,24,38,-14,97,12,10,5,-2,2023-08-01
2455,Southeast Fountain School Corp,1010,903,69,103,-34,4,-38,107,11,7,0,-4,2023-08-01
2475,Franklin County Community Sch Corp,2431,1994,38,288,-250,149,-399,437,18,2,6,-16,2023-08-01
2645,Rochester Community School Corp,1720,1421,118,299,-181,0,-181,299,17,7,0,-11,2023-08-01
2650,Caston School Corporation,750,631,201,119,82,0,82,119,16,27,0,11,2023-08-01
2725,East Gibson School Corporation,900,699,15,190,-175,11,-186,201,22,2,1,-21,2023-08-01
2735,North Gibson School Corporation,2080,1782,109,229,-120,69,-189,298,14,5,3,-9,2023-08-01
2765,South Gibson School Corporation,2076,1810,303,134,169,132,37,266,13,15,6,2,2023-08-01
2815,Eastbrook Community Sch Corp,1364,1207,386,128,258,29,229,157,12,28,2,17,2023-08-01
2825,Madison-Grant United School Corp,1223,971,520,216,304,36,268,252,21,43,3,22,2023-08-01
2855,Mississinewa Community School Corp,1726,1613,645,99,546,14,532,113,7,37,1,31,2023-08-01
2865,Marion Community Schools,5020,3401,65,1361,-1296,258,-1554,1619,32,1,5,-31,2023-08-01
2920,Bloomfield School District,942,787,37,155,-118,0,-118,155,16,4,0,-13,2023-08-01
2940,Eastern Greene Schools,1081,941,140,121,19,19,0,140,13,13,2,0,2023-08-01
2950,Linton-Stockton School Corporation,1262,1072,239,190,49,0,49,190,15,19,0,4,2023-08-01
2960,MSD Shakamak Schools,761,583,64,178,-114,0,-114,178,23,8,0,-15,2023-08-01
2980,White River Valley School District,788,600,114,188,-74,0,-74,188,24,14,0,-9,2023-08-01
3005,Hamilton Southeastern Schools,22531,21078,70,654,-584,799,-1383,1453,6,0,4,-6,2023-08-01
3025,Hamilton Heights School Corp,2022,1870,349,112,237,40,197,152,8,17,2,10,2023-08-01
3030,Westfield-Washington Schools,9482,9027,60,307,-247,148,-395,455,5,1,2,-4,2023-08-01
3055,Sheridan Community Schools,1024,937,151,70,81,17,64,87,8,15,2,6,2023-08-01
3060,Carmel Clay Schools,16248,15751,194,265,-71,232,-303,497,3,1,1,-2,2023-08-01
3070,Noblesville Schools,11305,10314,65,599,-534,392,-926,991,9,1,3,-8,2023-08-01
3115,Southern Hancock Co Com Sch Corp,3361,3075,667,189,478,97,381,286,9,20,3,11,2023-08-01
3125,Greenfield-Central Com Schools,4693,4028,254,551,-297,114,-411,665,14,5,2,-9,2023-08-01
3135,Mt Vernon Community School Corp,4541,3952,585,429,156,160,-4,589,13,13,4,-0,2023-08-01
3145,Eastern Hancock Co Com Sch Corp,901,783,386,110,276,8,268,118,13,43,1,30,2023-08-01
3160,Lanesville Community School Corp,640,501,249,106,143,33,110,139,22,39,5,17,2023-08-01
3180,North Harrison Com School Corp,2136,1774,305,318,-13,44,-57,362,17,14,2,-3,2023-08-01
3190,South Harrison Com Schools,3273,2814,189,357,-168,102,-270,459,14,6,3,-8,2023-08-01
3295,North West Hendricks Schools,1900,1725,187,100,87,75,12,175,9,10,4,1,2023-08-01
3305,Brownsburg Community School Corp,10441,9687,195,312,-117,442,-559,754,7,2,4,-5,2023-08-01
3315,Avon Community School Corp,11291,10204,145,581,-436,506,-942,1087,10,1,4,-8,2023-08-01
3325,Danville Community School Corp,2591,2346,239,190,49,55,-6,245,9,9,2,-0,2023-08-01
3330,Plainfield Community School Corp,5539,5146,534,301,233,92,141,393,7,10,2,3,2023-08-01
3335,Mill Creek Community Sch Corp,1565,1347,171,184,-13,34,-47,218,14,11,2,-3,2023-08-01
3405,Blue River Valley Schools,560,407,188,146,42,7,35,153,27,34,1,6,2023-08-01
3415,South Henry School Corp,627,497,255,127,128,3,125,130,21,41,0,20,2023-08-01
3435,Shenandoah School Corporation,1177,1026,283,136,147,15,132,151,13,24,1,11,2023-08-01
3445,New Castle Community School Corp,3226,2700,175,521,-346,5,-351,526,16,5,0,-11,2023-08-01
3455,C A Beard Memorial School Corp,1330,939,98,343,-245,48,-293,391,29,7,4,-22,2023-08-01
3460,Taylor Community School Corp,1338,776,494,529,-35,33,-68,562,42,37,2,-5,2023-08-01
3470,Northwestern School Corp,1481,1265,577,190,387,26,361,216,15,39,2,24,2023-08-01
3480,Eastern Howard School Corporation,1025,926,688,92,596,7,589,99,10,67,1,57,2023-08-01
3490,Western School Corporation,2294,1921,563,337,226,36,190,373,16,25,2,8,2023-08-01
3500,Kokomo School Corporation,6597,4512,269,1892,-1623,193,-1816,2085,32,4,3,-28,2023-08-01
3625,Huntington Co Com Sch Corp,5419,4769,89,473,-384,177,-561,650,12,2,3,-10,2023-08-01
3640,Medora Community School Corp,220,150,43,67,-24,3,-27,70,32,20,1,-12,2023-08-01
3675,Seymour Community Schools,5826,5133,192,217,-25,476,-501,693,12,3,8,-9,2023-08-01
3695,Brownstown Cnt Com Sch Corp,1563,1284,142,141,1,138,-137,279,18,9,9,-9,2023-08-01
3710,Crothersville Community Schools,492,373,47,91,-44,28,-72,119,24,10,6,-15,2023-08-01
3785,Kankakee Valley School Corp,3513,3094,114,165,-51,254,-305,419,12,3,7,-9,2023-08-01
3815,Rensselaer Central School Corp,1503,1359,85,109,-24,35,-59,144,10,6,2,-4,2023-08-01
3945,Jay School Corporation,3188,2826,88,235,-147,127,-274,362,11,3,4,-9,2023-08-01
3995,Madison Consolidated Schools,3335,2448,116,568,-452,319,-771,887,27,3,10,-23,2023-08-01
4000,Southwestern-Jefferson Co Con,1187,927,280,194,86,66,20,260,22,24,6,2,2023-08-01
4015,Jennings County School Corporation,4313,3733,123,323,-200,257,-457,580,13,3,6,-11,2023-08-01
4145,Clark-Pleasant Community Sch Corp,7680,6601,204,786,-582,293,-875,1079,14,3,4,-11,2023-08-01
4205,Center Grove Community School Corp,9840,8909,525,530,-5,401,-406,931,9,5,4,-4,2023-08-01
4215,Edinburgh Community School Corp,798,647,157,138,19,13,6,151,19,20,2,1,2023-08-01
4225,Franklin Community School Corp,5161,4526,345,509,-164,126,-290,635,12,7,2,-6,2023-08-01
4245,Greenwood Community Sch Corp,3695,3221,716,315,401,159,242,474,13,19,4,7,2023-08-01
4255,Nineveh-Hensley-Jackson United,1827,1622,450,161,289,44,245,205,11,25,2,13,2023-08-01
4315,North Knox School Corp,1410,1200,15,183,-168,27,-195,210,15,1,2,-14,2023-08-01
4325,South Knox School Corp,1079,968,283,79,204,32,172,111,10,26,3,16,2023-08-01
4335,Vincennes Community School Corp,3122,2676,121,302,-181,144,-325,446,14,4,5,-10,2023-08-01
4345,Wawasee Community School Corp,2875,2566,184,283,-99,26,-125,309,11,6,1,-4,2023-08-01
4415,Warsaw Community Schools,6966,6244,458,465,-7,257,-264,722,10,7,4,-4,2023-08-01
4445,Tippecanoe Valley School Corp,1788,1505,235,264,-29,19,-48,283,16,13,1,-3,2023-08-01
4455,Whitko Community School Corp,1451,1075,105,346,-241,30,-271,376,26,7,2,-19,2023-08-01
4515,Prairie Heights Community Sch Corp,1260,1074,254,180,74,6,68,186,15,20,0,5,2023-08-01
4525,Westview School Corporation,1854,1748,296,97,199,9,190,106,6,16,0,10,2023-08-01
4535,Lakeland School Corporation,1933,1542,56,386,-330,5,-335,391,20,3,0,-17,2023-08-01
4580,Hanover Community School Corp,2997,2678,21,78,-57,241,-298,319,11,1,8,-10,2023-08-01
4590,River Forest Community Sch Corp,1353,1232,368,79,289,42,247,121,9,27,3,18,2023-08-01
4600,Merrillville Community School Corp,6564,5739,51,367,-316,458,-774,825,13,1,7,-12,2023-08-01
4615,Lake Central School Corporation,9803,9044,50,252,-202,507,-709,759,8,1,5,-7,2023-08-01
4645,Tri-Creek School Corporation,3436,3194,88,111,-23,131,-154,242,7,3,4,-4,2023-08-01
4650,Lake Ridge New Tech Schools,1368,1166,475,100,375,102,273,202,15,35,7,20,2023-08-01
4660,Crown Point Community School Corp,9473,8861,11,206,-195,406,-601,612,6,0,4,-6,2023-08-01
4670,School City of East Chicago,4706,3113,64,1218,-1154,375,-1529,1593,34,1,8,-32,2023-08-01
4680,Lake Station Community Schools,1327,1010,134,223,-89,94,-183,317,24,10,7,-14,2023-08-01
4690,Gary Community School Corp,11386,3822,0,6972,-6972,592,-7564,7564,66,0,5,-66,2023-08-01
4700,Griffith Public Schools,2171,1876,67,155,-88,140,-228,295,14,3,6,-11,2023-08-01
4710,School City of Hammond,13108,10436,492,1513,-1021,1159,-2180,2672,20,4,9,-17,2023-08-01
4720,School Town of Highland,3253,2923,60,119,-59,211,-270,330,10,2,6,-8,2023-08-01
4730,School City of Hobart,4222,3945,25,177,-152,100,-252,277,7,1,2,-6,2023-08-01
4740,School Town of Munster,4065,3890,198,62,136,113,23,175,4,5,3,1,2023-08-01
4760,School City of Whiting,805,725,381,39,342,41,301,80,10,47,5,37,2023-08-01
4805,New Prairie United School Corp,2506,2347,634,144,490,15,475,159,6,25,1,19,2023-08-01
4860,MSD of New Durham Township,766,641,326,110,216,15,201,125,16,43,2,26,2023-08-01
4915,Tri-Township Cons School Corp,490,236,84,250,-166,4,-170,254,52,17,1,-35,2023-08-01
4925,Michigan City Area Schools,6175,4870,284,849,-565,456,-1021,1305,21,5,7,-17,2023-08-01
4940,South Central Com School Corp,689,594,371,82,289,13,276,95,14,54,2,40,2023-08-01
4945,LaPorte Community School Corp,6545,5571,240,839,-599,135,-734,974,15,4,2,-11,2023-08-01
5075,North Lawrence Com Schools,4652,3597,79,884,-805,171,-976,1055,23,2,4,-21,2023-08-01
5085,Mitchell Community Schools,1594,1317,148,271,-123,6,-129,277,17,9,0,-8,2023-08-01
5245,Frankton-Lapel Community Schools,2113,1986,984,94,890,33,857,127,6,47,2,41,2023-08-01
5255,South Madison Com Sch Corp,4130,3841,617,239,378,50,328,289,7,15,1,8,2023-08-01
5265,Alexandria Community School Corp,1507,1241,225,200,25,66,-41,266,18,15,4,-3,2023-08-01
5275,Anderson Community School Corp,9867,5961,25,3162,-3137,744,-3881,3906,40,0,8,-39,2023-08-01
5280,Elwood Community School Corp,1520,1267,202,239,-37,14,-51,253,17,13,1,-3,2023-08-01
5300,MSD Decatur Township,7313,6330,218,775,-557,208,-765,983,13,3,3,-10,2023-08-01
5310,Franklin Township Com Sch Corp,12639,10829,75,812,-737,998,-1735,1810,14,1,8,-14,2023-08-01
5330,MSD Lawrence Township,16642,14124,1755,1509,246,1009,-763,2518,15,11,6,-5,2023-08-01
5340,Perry Township Schools,18758,15679,324,1064,-740,2015,-2755,3079,16,2,11,-15,2023-08-01
5350,MSD Pike Township,12261,10320,0,1065,-1065,876,-1941,1941,16,0,7,-16,2023-08-01
5360,MSD Warren Township,13128,10352,1093,1902,-809,874,-1683,2776,21,8,7,-13,2023-08-01
5370,MSD Washington Township,11265,9565,794,880,-86,820,-906,1700,15,7,7,-8,2023-08-01
5375,MSD Wayne Township,16189,14737,1294,864,430,588,-158,1452,9,8,4,-1,2023-08-01
5380,Beech Grove City Schools,2054,1688,1098,206,892,160,732,366,18,53,8,36,2023-08-01
5385,Indianapolis Public Schools,47944,20301,959,23459,-22500,4184,-26684,27643,58,2,9,-56,2023-08-01
5400,School Town of Speedway,2120,1854,0,218,-218,48,-266,266,13,0,2,-13,2023-08-01
5455,Culver Community Schools Corp,869,643,145,204,-59,22,-81,226,26,17,3,-9,2023-08-01
5470,Argos Community Schools,656,506,152,148,4,2,2,150,23,23,0,0,2023-08-01
5480,Bremen Public Schools,1252,1166,285,83,202,3,199,86,7,23,0,16,2023-08-01
5485,Plymouth Community School Corp,3342,2858,320,364,-44,120,-164,484,14,10,4,-5,2023-08-01
5495,Triton School Corporation,874,760,178,108,70,6,64,114,13,20,1,7,2023-08-01
5520,Shoals Community School Corp,657,592,43,65,-22,0,-22,65,10,7,0,-3,2023-08-01
5525,Loogootee Community Sch Corp,815,634,105,177,-72,4,-76,181,22,13,0,-9,2023-08-01
5615,Maconaquah School Corp,1972,1540,331,420,-89,12,-101,432,22,17,1,-5,2023-08-01
5620,North Miami Community Schools,780,637,129,143,-14,0,-14,143,18,17,0,-2,2023-08-01
5625,Oak Hill United School Corp,1201,1086,524,98,426,17,409,115,10,44,1,34,2023-08-01
5635,Peru Community Schools,2015,1580,287,432,-145,3,-148,435,22,14,0,-7,2023-08-01
5705,Richland-Bean Blossom C S C,2776,2376,275,341,-66,59,-125,400,14,10,2,-5,2023-08-01
5740,Monroe County Community Sch Corp,11188,9929,324,910,-586,349,-935,1259,11,3,3,-8,2023-08-01
5835,North Montgomery Com Sch Corp,1859,1585,175,262,-87,12,-99,274,15,9,1,-5,2023-08-01
5845,South Montgomery Com Sch Corp,1719,1474,117,242,-125,3,-128,245,14,7,0,-7,2023-08-01
5855,Crawfordsville Community Schools,2359,2128,258,227,31,4,27,231,10,11,0,1,2023-08-01
5900,Monroe-Gregg School District,1443,1245,286,147,139,51,88,198,14,20,4,6,2023-08-01
5910,Eminence Community School Corp,352,245,53,98,-45,9,-54,107,30,15,3,-15,2023-08-01
5925,MSD Martinsville Schools,4614,3714,179,566,-387,334,-721,900,20,4,7,-16,2023-08-01
5930,Mooresville Con School Corp,4188,3549,758,408,350,231,119,639,15,18,6,3,2023-08-01
5945,North Newton School Corp,1287,1100,33,162,-129,25,-154,187,15,3,2,-12,2023-08-01
5995,South Newton School Corp,829,770,56,59,-3,0,-3,59,7,7,0,-0,2023-08-01
6055,Central Noble Com School Corp,1148,991,156,142,14,15,-1,157,14,14,1,-0,2023-08-01
6060,East Noble School Corporation,3595,3093,227,312,-85,190,-275,502,14,6,5,-8,2023-08-01
6065,West Noble School Corporation,2247,2041,120,196,-76,10,-86,206,9,5,0,-4,2023-08-01
6080,Rising Sun-Ohio Co Com,771,688,85,73,12,10,2,83,11,11,1,0,2023-08-01
6145,Orleans Community Schools,779,675,219,103,116,1,115,104,13,28,0,15,2023-08-01
6155,Paoli Community School Corp,1269,1084,120,179,-59,6,-65,185,15,9,0,-5,2023-08-01
6160,Springs Valley Com School Corp,814,743,94,71,23,0,23,71,9,12,0,3,2023-08-01
6195,Spencer-Owen Community Schools,2510,2035,100,435,-335,40,-375,475,19,4,2,-15,2023-08-01
6260,Southwest Parke Com Sch Corp,851,760,202,90,112,1,111,91,11,24,0,13,2023-08-01
6325,Perry Central Com Schools Corp,969,848,374,119,255,2,253,121,12,39,0,26,2023-08-01
6340,Cannelton City Schools,280,122,85,158,-73,0,-73,158,56,30,0,-26,2023-08-01
6350,Tell City-Troy Twp School Corp,1600,1200,174,399,-225,1,-226,400,25,11,0,-14,2023-08-01
6375,North Central Parke Comm Schl Corp,1211,1071,93,139,-46,1,-47,140,12,8,0,-4,2023-08-01
6445,Pike County School Corp,1762,1453,47,299,-252,10,-262,309,18,3,1,-15,2023-08-01
6460,MSD Boone Township,945,865,135,57,78,23,55,80,8,14,2,6,2023-08-01
6470,Duneland School Corporation,6046,5527,212,397,-185,122,-307,519,9,4,2,-5,2023-08-01
6510,East Porter County School Corp,2364,2166,250,141,109,57,52,198,8,11,2,2,2023-08-01
6520,Porter Township School Corp,1372,1256,127,73,54,43,11,116,8,9,3,1,2023-08-01
6530,Union Township School Corp,1401,1309,119,55,64,37,27,92,7,8,3,2,2023-08-01
6550,Portage Township Schools,7454,6732,54,478,-424,244,-668,722,10,1,3,-9,2023-08-01
6560,Valparaiso Community Schools,6881,6300,100,382,-282,199,-481,581,8,1,3,-7,2023-08-01
6590,MSD Mount Vernon,2368,1999,64,145,-81,224,-305,369,16,3,9,-13,2023-08-01
6600,MSD North Posey Co Schools,1485,1253,136,100,36,132,-96,232,16,9,9,-6,2023-08-01
6620,Eastern Pulaski Community Sch Corp,1016,942,184,72,112,2,110,74,7,18,0,11,2023-08-01
6630,West Central School Corp,652,588,57,55,2,9,-7,64,10,9,1,-1,2023-08-01
6705,South Putnam Community Schools,1035,866,218,167,51,2,49,169,16,21,0,5,2023-08-01
6715,North Putnam Community Schools,1516,1266,47,240,-193,10,-203,250,16,3,1,-13,2023-08-01
6750,Cloverdale Community Schools,1020,893,764,123,641,4,637,127,12,75,0,62,2023-08-01
6755,Greencastle Community School Corp,1816,1599,131,214,-83,3,-86,217,12,7,0,-5,2023-08-01
6795,Union School Corporation,377,148,6939,222,6717,7,6710,229,61,1841,2,1780,2023-08-01
6805,Randolph Southern School Corp,431,340,132,89,43,2,41,91,21,31,0,10,2023-08-01
6820,Monroe Central School Corp,837,728,336,107,229,2,227,109,13,40,0,27,2023-08-01
6825,Randolph Central School Corp,1417,1197,143,217,-74,3,-77,220,16,10,0,-5,2023-08-01
6835,Randolph Eastern School Corp,920,829,33,91,-58,0,-58,91,10,4,0,-6,2023-08-01
6865,South Ripley Com Sch Corp,1159,970,85,160,-75,29,-104,189,16,7,3,-9,2023-08-01
6895,Batesville Community School Corp,2107,1858,328,96,232,153,79,249,12,16,7,4,2023-08-01
6900,Jac-Cen-Del Community Sch Corp,765,628,126,128,-2,9,-11,137,18,16,1,-1,2023-08-01
6910,Milan Community Schools,931,725,289,159,130,47,83,206,22,31,5,9,2023-08-01
6995,Rush County Schools,2111,1774,119,275,-156,62,-218,337,16,6,3,-10,2023-08-01
7150,John Glenn School Corporation,1605,1426,528,133,395,46,349,179,11,33,3,22,2023-08-01
7175,Penn-Harris-Madison School Corp,10753,9324,1765,811,954,618,336,1429,13,16,6,3,2023-08-01
7200,School City of Mishawaka,4876,3799,1254,774,480,303,177,1077,22,26,6,4,2023-08-01
7205,South Bend Community School Corp,22712,14354,327,4805,-4478,3553,-8031,8358,37,1,16,-35,2023-08-01
7215,Union-North United School Corp,1102,785,457,279,178,38,140,317,29,41,3,13,2023-08-01
7230,Scott County School District 1,1425,1267,0,136,-136,22,-158,158,11,0,2,-11,2023-08-01
7255,Scott County School District 2,2591,2321,196,184,12,86,-74,270,10,8,3,-3,2023-08-01
7285,Shelby Eastern Schools,1319,999,181,299,-118,21,-139,320,24,14,2,-11,2023-08-01
7350,Northwestern Con School Corp,1139,1014,322,102,220,23,197,125,11,28,2,17,2023-08-01
7360,Southwestern Con Sch Shelby Co,599,466,118,129,-11,4,-15,133,22,20,1,-3,2023-08-01
7365,Shelbyville Central Schools,3863,3475,245,327,-82,61,-143,388,10,6,2,-4,2023-08-01
7385,North Spencer County Sch Corp,2022,1891,95,115,-20,16,-36,131,6,5,1,-2,2023-08-01
7445,South Spencer County Sch Corp,1159,1029,17,59,-42,71,-113,130,11,1,6,-10,2023-08-01
7495,Oregon-Davis School Corp,628,360,137,264,-127,4,-131,268,43,22,1,-21,2023-08-01
7515,North Judson-San Pierre Sch Corp,1190,884,55,229,-174,77,-251,306,26,5,6,-21,2023-08-01
7525,Knox Community School Corp,1685,1406,255,253,2,26,-24,279,17,15,2,-1,2023-08-01
7605,Fremont Community Schools,914,809,174,101,73,4,69,105,11,19,0,8,2023-08-01
7610,Hamilton Community Schools,485,278,69,204,-135,3,-138,207,43,14,1,-28,2023-08-01
7615,MSD Steuben County,2584,2240,267,336,-69,8,-77,344,13,10,0,-3,2023-08-01
7645,Northeast School Corp,1147,633,111,513,-402,1,-403,514,45,10,0,-35,2023-08-01
7715,Southwest School Corporation,1797,1514,189,283,-94,0,-94,283,16,11,0,-5,2023-08-01
7775,Switzerland County School Corp,1542,1409,48,126,-78,7,-85,133,9,3,0,-6,2023-08-01
7855,Lafayette School Corporation,8036,7094,88,366,-278,576,-854,942,12,1,7,-11,2023-08-01
7865,Tippecanoe School Corp,14965,13620,323,626,-303,719,-1022,1345,9,2,5,-7,2023-08-01
7875,West Lafayette Com School Corp,2267,2168,108,68,40,31,9,99,4,5,1,0,2023-08-01
7935,Tri-Central Community Schools,643,515,254,125,129,3,126,128,20,40,0,20,2023-08-01
7945,Tipton Community School Corp,1562,1288,138,264,-126,10,-136,274,18,9,1,-9,2023-08-01
7950,Union Co/Clg Corner Joint Sch Dist,1222,1155,114,55,59,12,47,67,5,9,1,4,2023-08-01
7995,Evansville Vanderburgh School Corp,24666,20915,338,1185,-847,2566,-3413,3751,15,1,10,-14,2023-08-01
8010,North Vermillion Com Sch Corp,631,577,91,50,41,4,37,54,9,14,1,6,2023-08-01
8020,South Vermillion Com Sch Corp,1739,1525,64,194,-130,20,-150,214,12,4,1,-9,2023-08-01
8030,Vigo County School Corp,14250,13282,118,786,-668,182,-850,968,7,1,1,-6,2023-08-01
8045,Manchester Community Schools,1358,1195,184,138,46,25,21,163,12,14,2,2,2023-08-01
8050,MSD Wabash County Schools,1804,1343,796,447,349,14,335,461,26,44,1,19,2023-08-01
8060,Wabash City Schools,1422,1039,379,366,13,17,-4,383,27,27,1,-0,2023-08-01
8115,MSD Warren County,1476,1394,0,78,-78,4,-82,82,6,0,0,-6,2023-08-01
8130,Warrick County School Corp,10817,9772,240,560,-320,485,-805,1045,10,2,4,-7,2023-08-01
8205,Salem Community Schools,1960,1575,143,379,-236,6,-242,385,20,7,0,-12,2023-08-01
8215,East Washington School Corp,1393,1141,135,239,-104,13,-117,252,18,10,1,-8,2023-08-01
8220,West Washington School Corp,768,628,296,135,161,5,156,140,18,39,1,20,2023-08-01
8305,Nettle Creek School Corporation,954,814,292,140,152,0,152,140,15,31,0,16,2023-08-01
8355,Western Wayne Schools,794,586,100,194,-94,14,-108,208,26,13,2,-14,2023-08-01
8360,Centerville-Abington Com Schs,1354,1230,501,102,399,22,377,124,9,37,2,28,2023-08-01
