nces_id,corp_id,corp_name,address,city,state,zip,lon,lat,coord
1800169,9900,Excel Center - South Bend,PO Box 3846,South Bend,IN,46619,-86.34781509999999,41.6530149,41.6530149+-86.3478151
1800098,9905,Indiana Connections Academy,"6640 INTECH Blvd, Suite 101",Indianapolis,IN,46278,-86.2754573,39.8759659,39.8759659+-86.2754573
1800093,9910,Excel Center for Adult Learners,1635 W Michigan St,Indianapolis,IN,46222,-86.19186239999999,39.7736017,39.7736017+-86.1918624
1800108,9920,Damar Charter Academy,"5125 Decatur Blvd, Suite D",Indianapolis,IN,46241,-86.28635829999999,39.68853319999999,39.6885332+-86.2863583
1800124,9925,Phalen Leadership Academy - Indiana Incorporated,2323 North Illinois Street,Indianapolis,IN,46208,-86.15856339999999,39.7997453,39.7997453+-86.1585634
1800146,9935,Vision Academy,1751 E Riverside Drive,Indianapolis,IN,46202,-86.1907104,39.7908806,39.7908806+-86.1907104
1800165,9950,Dugger Union Community School Corporation,7356 E County Road 50 South,Dugger,IN,47848,-87.2712797,39.0733789,39.0733789+-87.2712797
1800225,9954,Phalen Leadership Academy at Louis B Russell School 48 B Russell School 48,3445 N Central Ave,Indianapolis,IN,46205,-86.14919379999999,39.8192019,39.8192019+-86.1491938
1800168,9955,Mays Community Academy,PO Box 188,Lewisville,IN,47352,-85.35274679999999,39.8067126,39.8067126+-85.3527468
1800161,9960,Success Academy Primary School,3408 Ardmore Trail,South Bend,IN,46628,-86.331558,41.7277848,41.7277848+-86.331558
1800164,9965,Career Academy Middle School,"3801 Crescent Circle, Suite B",South Bend,IN,46628,-86.3310568,41.7273959,41.7273959+-86.3310568
1800172,9970,ACE Preparatory Academy,5326 Hillside Ave,Indianapolis,IN,46220,-86.12609330000001,39.8500549,39.8500549+-86.1260933
1800170,9975,Global Preparatory Academy,2033 Sugar Grove Ave,Indianapolis,IN,46202,-86.18431439999999,39.7948086,39.7948086+-86.1843144
1800171,9980,Steel City Academy,2650 West 35th Avenue,Gary,IN,46408,-87.3684334,41.5561186,41.5561186+-87.3684334
1800176,9985,Seven Oaks Classical School,200 E Association St,Bloomington,IN,47429,-86.6215426,39.2296599,39.2296599+-86.6215426
1800178,9990,Higher Institute of Arts & Technology,5861 Harrison Street,Merrillville,IN,46410,-87.3448516,41.5123553,41.5123553+-87.3448516
1800175,9995,Excel Center - Shelbyville,111 North Harrison Street,Shelbyville,IN,46176,-85.7771983,39.5253161,39.5253161+-85.7771983
NA,9999,Out Of State Student,100 N Senate Ave,Indianapolis,IN,46204,-86.16416439999999,39.769134,39.769134+-86.1641644
