corp_name,corp_id,STATEFP,UNSDLEA,AFFGEOID,GEOID,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry
East Washington School Corporation,8215,18,03000,9700000US1803000,1803000,IN,Indiana,00,365450569,1056040,"list(list(c(-86.122886, -86.122548, -86.122607, -86.122621, -86.122558, -86.122391, -86.110963, -86.053565, -86.029125, -86.022241, -86.014304, -86.014362, -86.014374, -86.014607, -86.014945, -86.014746, -86.015081, -86.015191, -86.015507, -86.01559, -86.015692, -85.998345, -85.997163, -85.99645, -85.99424, -85.976698, -85.96318, -85.961027, -85.954499, -85.888108, -85.886834, -85.885643, -85.87497, -85.87332, -85.848575, -85.848697, -85.848567, -85.848439, -85.847893, -85.847588, -85.866341, -85.866268, 
-85.884708, -85.884574, -85.884776, -85.903265, -85.913374, -85.921395, -85.927624, -85.934679, -85.957102, -85.956229, -85.956195, -85.966182, -85.969339, -85.973828, -85.990666, -85.993317, -85.99298, -85.99394, -85.994011, -85.994147, -85.993901, -85.994633, -85.99462, -86.014139, -86.028607, -86.032817, -86.106876, -86.109695, -86.113262, -86.123287, -86.122886, 38.470699, 38.470703, 38.489003, 38.497816, 38.498111, 38.557953, 38.558001, 38.558836, 38.559447, 38.559641, 38.560051, 38.564918, 
38.565751, 38.56913, 38.589455, 38.593837, 38.604177, 38.604373, 38.631928, 38.634954, 38.648019, 38.648215, 38.648294, 38.648136, 38.64824, 38.648462, 38.648648, 38.648358, 38.648639, 38.648791, 38.648786, 38.575412, 38.57534, 38.575553, 38.576266, 38.575151, 38.562055, 38.561633, 38.561269, 38.54714, 38.547095, 38.518425, 38.518152, 38.5088, 38.503469, 38.502568, 38.502656, 38.502458, 38.50257, 38.502291, 38.501949, 38.499053, 38.488956, 38.488854, 38.488804, 38.488732, 38.488578, 38.48854, 38.473964, 
38.473948, 38.472285, 38.453362, 38.432695, 38.429686, 38.418345, 38.419079, 38.418147, 38.417898, 38.419177, 38.419245, 38.419357, 38.419678, 38.470699)))"
Jay School Corporation,3945,18,04980,9700000US1804980,1804980,IN,Indiana,00,994310124,458556,"list(list(c(-85.219901, -85.218551, -85.216327, -85.212353, -85.211516, -85.206831, -85.20687, -85.206864, -85.206889, -85.206694, -85.206566, -85.206508, -85.200857, -85.200677, -85.200713, -85.201067, -85.201396, -85.201184, -85.201313, -85.201146, -85.183391, -85.106918, -85.087652, -85.085414, -85.068479, -85.059095, -85.006945, -84.999966, -84.99214, -84.973029, -84.95909, -84.934872, -84.909438, -84.877728, -84.873026, -84.866124, -84.802265, -84.8023601105478, -84.802483, -84.802529020909, 
-84.802547, -84.8031485216558, -84.8038280958923, -84.803928, -84.8040978403328, -84.8044460970605, -84.804504, -84.8044443361981, -84.8044437771402, -84.8044085128959, -84.8043062800855, -84.804119, -84.8041185884184, -84.8040750898748, -84.803917, -84.8039175091218, -84.900809, -84.919775, -85.01748, -85.02703, -85.093344, -85.093534, -85.129988, -85.195303, -85.196102, -85.197131, -85.218758, -85.218918, -85.219015, -85.219694, -85.219726, -85.219829, -85.219901, 40.379034, 40.379218, 40.379181, 
40.379193, 40.379188, 40.379182, 40.381899, 40.382817, 40.391427, 40.392605, 40.394681, 40.479373, 40.479495, 40.486778, 40.501624, 40.519919, 40.521325, 40.525023, 40.552128, 40.567242, 40.567255, 40.567824, 40.56811, 40.568009, 40.56824, 40.568369, 40.56909, 40.56949, 40.569589, 40.570035, 40.570275, 40.57066, 40.570939, 40.571376, 40.571285, 40.571518, 40.572215, 40.5529446431888, 40.528046, 40.5091803036027, 40.50181, 40.4847156343934, 40.46540312861, 40.462564, 40.4475234001121, 40.4166827274972, 
40.411555, 40.4024565026752, 40.402371248515, 40.3969935886536, 40.3814034833705, 40.352844, 40.3527569382653, 40.3435557042488, 40.310115, 40.3100935746936, 40.30941, 40.30941, 40.308996, 40.308807, 40.307889, 40.307912, 40.307456, 40.306793, 40.306798, 40.306884, 40.306706, 40.315594, 40.321044, 40.350064, 40.360387, 40.366702, 40.379034)))"
Center Grove Community School Corporation,4205,18,01440,9700000US1801440,1801440,IN,Indiana,00,123829667,890185,"list(list(c(-86.25061, -86.250589, -86.250517, -86.250133, -86.249885, -86.243093, -86.234224, -86.205778, -86.205516, -86.19641, -86.185662, -86.183741, -86.177589, -86.170875, -86.163749, -86.15839, -86.145698, -86.14126, -86.14094, -86.139414, -86.13941, -86.139406, -86.1394, -86.139707, -86.146475, -86.146368, -86.146, -86.14598, -86.139753, -86.14123, -86.14125, -86.14006, -86.139938, -86.13998, -86.13996, -86.139907, -86.12084, -86.12079, -86.12542, -86.13043, -86.13986, -86.13982, -86.13976, 
-86.12553, -86.12552, -86.125501, -86.12544, -86.13965, -86.13965, -86.13946, -86.13931, -86.139162, -86.13914, -86.140258, -86.152379, -86.15814, -86.160089, -86.162938, -86.167814, -86.16827, -86.17742, -86.1867, -86.24253, -86.245243, -86.250322, -86.25038, -86.2505, -86.250626, -86.25061, 39.576178, 39.591046, 39.593774, 39.604046, 39.633645, 39.633734, 39.633854, 39.63425, 39.634246, 39.63439, 39.634586, 39.634611, 39.634736, 39.634857, 39.634999, 39.6351, 39.635263, 39.63529, 39.63193, 39.63153, 
39.629648, 39.628076, 39.62425, 39.623274, 39.622965, 39.621179, 39.61979, 39.61336, 39.613452, 39.61151, 39.60725, 39.60614, 39.606141, 39.60044, 39.59968, 39.592701, 39.59329, 39.58832, 39.58852, 39.58951, 39.58942, 39.58509, 39.57838, 39.57854, 39.57558, 39.571203, 39.56386, 39.56368, 39.56319, 39.54876, 39.53427, 39.520941, 39.519228, 39.519214, 39.51906, 39.51894, 39.518896, 39.518914, 39.518844, 39.51885, 39.51865, 39.51853, 39.517362, 39.517238, 39.516687, 39.52404, 39.54597, 39.567936, 39.576178
)))"
Cowan Community School Corporation,1900,18,07020,9700000US1807020,1807020,IN,Indiana,00,78406860,97831,"list(list(c(-85.442872, -85.394293, -85.393322, -85.390624, -85.380284, -85.333454, -85.329269, -85.328867, -85.328696, -85.328095, -85.394453, -85.403715, -85.442547, -85.4426, -85.442608, -85.442962, -85.442872, 40.149444, 40.149183, 40.14928, 40.14922, 40.149195, 40.149148, 40.149344, 40.131312, 40.1131, 40.076546, 40.076462, 40.076477, 40.076686, 40.12009, 40.12048, 40.142091, 40.149444)))"
Orleans Community Schools,6145,18,08490,9700000US1808490,1808490,IN,Indiana,00,239218446,1127223,"list(list(c(-86.590647, -86.553399, -86.546039, -86.516571, -86.49999, -86.497381, -86.460057, -86.460023, -86.455556, -86.401806, -86.383319, -86.378235, -86.346016, -86.345785, -86.308701, -86.307918, -86.307793, -86.308294, -86.307749, -86.30788, -86.307993, -86.327532, -86.336122, -86.345816, -86.345809, -86.374873, -86.383, -86.383097, -86.383562, -86.402532, -86.438301, -86.45812, -86.458139, -86.49688, -86.505909, -86.515274, -86.514979, -86.514916, -86.514941, -86.514692, -86.514951, -86.515122, 
-86.51966, -86.533766, -86.572706, -86.588588, -86.588804, -86.589063, -86.590261, -86.590459, -86.590647, 38.687088, 38.687441, 38.687509, 38.687817, 38.68799, 38.68818, 38.688655, 38.687576, 38.687522, 38.687684, 38.687843, 38.688006, 38.688481, 38.688517, 38.688101, 38.673679, 38.671602, 38.659118, 38.644462, 38.622541, 38.586243, 38.586447, 38.586307, 38.586497, 38.586751, 38.586432, 38.586503, 38.587748, 38.615447, 38.615547, 38.614762, 38.614393, 38.614867, 38.614355, 38.614335, 38.615086, 
38.604283, 38.593729, 38.589189, 38.587192, 38.586198, 38.586194, 38.585903, 38.585796, 38.585487, 38.585338, 38.59979, 38.643661, 38.643638, 38.665457, 38.687088)))"
South Ripley Community School Corporation,6865,18,10530,9700000US1810530,1810530,IN,Indiana,00,567072674,2000694,"list(list(c(-85.444658, -85.444051, -85.443708, -85.443505, -85.443362, -85.443144, -85.442773, -85.441866, -85.441108, -85.441236, -85.441054, -85.42251, -85.403766, -85.394293, -85.385029, -85.385054, -85.385629, -85.381763, -85.343698, -85.342581, -85.31558, -85.315643, -85.31556, -85.296823, -85.271753, -85.268959, -85.25027, -85.240809, -85.240385, -85.187209, -85.187233, -85.187604, -85.186994, -85.187427, -85.187312, -85.185587, -85.124902, -85.122917, -85.119559, -85.121983, -85.125291, -85.126259, 
-85.126124, -85.128452, -85.132508, -85.135832, -85.202849, -85.203166, -85.234382, -85.245616, -85.296568, -85.350352, -85.366616, -85.367864, -85.416321, -85.444897, -85.444658, 39.000659, 39.000883, 39.044483, 39.059039, 39.064693, 39.073458, 39.088348, 39.088375, 39.143295, 39.147002, 39.16173, 39.161828, 39.162833, 39.162872, 39.162673, 39.147874, 39.111106, 39.11108, 39.111633, 39.111698, 39.11111, 39.10526, 39.103836, 39.103587, 39.103407, 39.103327, 39.103422, 39.103439, 39.132885, 39.133664, 
39.118984, 39.114155, 39.111663, 39.066789, 39.060954, 39.015862, 39.016746, 39.017119, 39.017165, 39.002266, 38.986259, 38.982441, 38.9814, 38.969244, 38.948055, 38.929578, 38.928523, 38.913803, 38.913949, 38.914004, 38.913836, 38.913672, 38.913431, 38.91352, 38.913114, 38.912998, 39.000659)))"
Bremen Public Schools,5480,18,00900,9700000US1800900,1800900,IN,Indiana,00,159237808,1597856,"list(list(c(-86.233567, -86.185038, -86.156248, -86.127373, -86.117759, -86.059451, -86.059052, -86.059237, -86.05923, -86.059017, -86.05867, -86.058555, -86.075298, -86.155139, -86.193923, -86.194031, -86.208524, -86.232518, -86.232702, -86.232938, -86.233567, 41.478858, 41.478813, 41.479224, 41.479382, 41.47902, 41.479154, 41.445228, 41.442753, 41.435812, 41.435153, 41.390087, 41.37564, 41.375856, 41.376047, 41.376704, 41.391323, 41.391613, 41.391568, 41.419046, 41.435339, 41.478858)))"
East Porter County School Corporation,6510,18,09000,9700000US1809000,1809000,IN,Indiana,00,341757164,0,"list(list(c(-87.103086, -87.091813, -87.084089, -87.084376, -87.064918, -87.065497, -87.06559, -87.065728, -87.065632, -87.084776, -87.085142, -87.065862, -87.032675, -87.027074, -87.02705, -87.027314, -87.026854, -87.027097, -87.027107, -87.027102, -87.027112, -87.027115, -87.027115, -87.027171, -87.027181, -87.027162, -87.027156, -87.027164, -87.027152, -87.027191, -87.026836, -87.026869, -87.025048, -87.007895, -86.988321, -86.929774, -86.929362, -86.930056, -86.930169, -86.930173, -86.930216, 
-86.930662, -86.930603, -86.930567, -86.92986, -86.929568, -86.930079, -86.937691, -86.942336, -86.954522, -86.962028, -86.968125, -86.977017, -86.978004, -86.984044, -87.011028, -87.044843, -87.059724, -87.073203, -87.102293, -87.103086, 41.303695, 41.303931, 41.303848, 41.318489, 41.318559, 41.347481, 41.375, 41.377632, 41.3912, 41.391311, 41.434578, 41.434549, 41.434488, 41.434488, 41.438099, 41.454392, 41.460181, 41.469249, 41.471339, 41.472307, 41.473557, 41.473918, 41.478209, 41.487673, 41.489585, 
41.492703, 41.494706, 41.496413, 41.500034, 41.507325, 41.512601, 41.521149, 41.520596, 41.520311, 41.520015, 41.519019, 41.46311, 41.449692, 41.436194, 41.434275, 41.41248, 41.346909, 41.328086, 41.327971, 41.259418, 41.248849, 41.236798, 41.230209, 41.228502, 41.225282, 41.222554, 41.219658, 41.221549, 41.222155, 41.2277, 41.240908, 41.260798, 41.26952, 41.27318, 41.280961, 41.303695)))"
West Lafayette Community School Corporation,7875,18,12870,9700000US1812870,1812870,IN,Indiana,00,11153291,24973,"list(list(c(-86.934483, -86.934567, -86.934597, -86.933904, -86.933906, -86.924579, -86.924579, -86.922347, -86.915647, -86.915547, -86.899528, -86.899528, -86.899529, -86.899548, -86.899647, -86.900767, -86.901365, -86.901709, -86.901873, -86.902927, -86.899324, -86.899091, -86.89947, -86.899702, -86.903106, -86.903098, -86.901005, -86.89969, -86.899335, -86.898709, -86.898187, -86.897262, -86.897424, -86.897999, -86.898199, -86.900137, -86.901139, -86.901345, -86.90207, -86.901686, -86.902579, 
-86.897762, -86.897133, -86.898943, -86.899111, -86.902351, -86.907484, -86.909277, -86.910252, -86.910342, -86.913608, -86.91381, -86.913729, -86.910337, -86.910381, -86.910386, -86.913979, -86.916111, -86.916689, -86.916666, -86.919138, -86.919603, -86.919624, -86.919713, -86.919856, -86.919218, -86.919197, -86.914978, -86.915359, -86.915518, -86.915902, -86.917271, -86.918405, -86.919644, -86.924613, -86.924504, -86.921603, -86.923152, -86.924605, -86.928177, -86.929841, -86.933213, -86.933304, 
-86.935289, -86.934483, 40.462715, 40.464997, 40.467812, 40.467816, 40.467907, 40.468033, 40.467908, 40.467929, 40.468894, 40.469018, 40.469004, 40.468791, 40.467829, 40.465351, 40.464638, 40.461726, 40.460159, 40.45922, 40.458674, 40.45674, 40.45672, 40.457214, 40.452389, 40.452208, 40.452525, 40.451917, 40.449939, 40.448262, 40.440436, 40.437935, 40.436949, 40.43693, 40.43573, 40.43442, 40.433995, 40.427772, 40.427537, 40.427139, 40.42587, 40.425744, 40.424297, 40.424848, 40.421697, 40.418478, 
40.418256, 40.418789, 40.417086, 40.416683, 40.416605, 40.416601, 40.416781, 40.420341, 40.424134, 40.424019, 40.427935, 40.428046, 40.43136, 40.431344, 40.427782, 40.424187, 40.424198, 40.424216, 40.427296, 40.431412, 40.432947, 40.432935, 40.431464, 40.432348, 40.436367, 40.436823, 40.437415, 40.438892, 40.438733, 40.438759, 40.438817, 40.446114, 40.445999, 40.447992, 40.450313, 40.45408, 40.455201, 40.460282, 40.460404, 40.462928, 40.462715)))"
Greenfield-Central Community Schools,3125,18,04050,9700000US1804050,1804050,IN,Indiana,00,215518309,1519427,"list(list(c(-85.841192, -85.80523, -85.805711, -85.786653, -85.692352, -85.692245, -85.691138, -85.709693, -85.708357, -85.708591, -85.708389, -85.707876, -85.726798, -85.726898, -85.72678, -85.72636, -85.743334, -85.752226, -85.752369, -85.764399, -85.778438, -85.839084, -85.83966, -85.839894, -85.840072, -85.840351, -85.840922, -85.841192, 39.871004, 39.87159, 39.944567, 39.944677, 39.945446, 39.930846, 39.87261, 39.872425, 39.825504, 39.824749, 39.81474, 39.785543, 39.785296, 39.785287, 39.783227, 
39.757282, 39.757226, 39.757238, 39.757253, 39.757377, 39.757441, 39.757128, 39.78179, 39.784111, 39.798554, 39.82019, 39.856805, 39.871004)))"
Union School Corporation,6795,18,11730,9700000US1811730,1811730,IN,Indiana,00,235249476,1916033,"list(list(c(-85.30882, -85.302903, -85.214386, -85.214902, -85.127267, -85.127331, -85.111068, -85.090357, -85.073033, -85.035116, -85.034633, -85.034505, -85.053481, -85.058147, -85.121648, -85.124964, -85.126777, -85.201473, -85.213496, -85.213553, -85.302674, -85.307297, -85.30744, -85.307455, -85.308544, -85.308674, -85.308817, -85.30882, 40.076685, 40.076719, 40.076889, 40.106067, 40.106404, 40.121224, 40.121438, 40.120388, 40.120535, 40.120867, 40.048479, 40.004842, 40.004809, 40.004767, 40.004262, 
40.004142, 40.004205, 40.004521, 40.00438, 40.019002, 40.018837, 40.018954, 40.040701, 40.04732, 40.047324, 40.061287, 40.062552, 40.076685)))"
Smith-Green Community Schools,8625,18,10230,9700000US1810230,1810230,IN,Indiana,00,182815828,1913104,"list(list(c(-85.424501, -85.40046, -85.357336, -85.309373, -85.30867, -85.307962, -85.307943, -85.307781, -85.309775, -85.309502, -85.309949, -85.30981, -85.309659, -85.30979, -85.338552, -85.35022, -85.405514, -85.421519, -85.424482, -85.424417, -85.424358, -85.424031, -85.423896, -85.423036, -85.422792, -85.422937, -85.423124, -85.423824, -85.423859, -85.423951, -85.424053, -85.423576, -85.423349, -85.423133, -85.42301, -85.424501, 41.352237, 41.352125, 41.351977, 41.351614, 41.308058, 41.300851, 
41.271484, 41.264158, 41.246997, 41.235192, 41.229675, 41.219503, 41.21809, 41.179257, 41.17912, 41.179191, 41.178728, 41.178491, 41.178465, 41.182183, 41.207466, 41.236231, 41.245574, 41.246661, 41.247562, 41.248347, 41.248776, 41.249855, 41.250199, 41.256305, 41.265048, 41.29675, 41.297927, 41.30858, 41.344051, 41.352237)))"
Warsaw Community Schools,4415,18,12420,9700000US1812420,1812420,IN,Indiana,00,424421941,15453908,"list(list(c(-86.000459, -85.96183, -85.94644, -85.942535, -85.928087, -85.923729, -85.884816, -85.863947, -85.844646, -85.806101, -85.767596, -85.767577, -85.767444, -85.766948, -85.766373, -85.766083, -85.765706, -85.765399, -85.765346, -85.765641, -85.765197, -85.789216, -85.798563, -85.797551, -85.797343, -85.79701, -85.796749, -85.795814, -85.872251, -85.907475, -85.907523, -85.907688, -85.908065, -85.908028, -85.908325, -85.908197, -85.908327, -85.909343, -85.909595, -85.909468, -85.908013, 
-85.910185, -85.910792, -85.911209, -85.940168, -85.956354, -85.957558, -85.970682, -85.976821, -85.998303, -86.000004, -86.000459, 41.346829, 41.347156, 41.347338, 41.347185, 41.347341, 41.347393, 41.347762, 41.348148, 41.348376, 41.349062, 41.349552, 41.349217, 41.3438, 41.326464, 41.300314, 41.289386, 41.264012, 41.216739, 41.207133, 41.200793, 41.177456, 41.177117, 41.176958, 41.130569, 41.116143, 41.101642, 41.087175, 41.043588, 41.04305, 41.042928, 41.075555, 41.07635, 41.093858, 41.101097, 
41.108419, 41.109389, 41.115566, 41.159163, 41.16738, 41.175071, 41.17509, 41.232993, 41.24771, 41.261956, 41.261412, 41.261167, 41.260947, 41.260903, 41.260803, 41.260443, 41.324054, 41.346829)))"
Milan Community Schools,6910,18,06630,9700000US1806630,1806630,IN,Indiana,00,170559036,187477,"list(list(c(-85.188755, -85.188571, -85.188588, -85.183607, -85.182581, -85.178732, -85.177913, -85.159919, -85.151362, -85.146908, -85.140878, -85.132096, -85.122685, -85.099711, -85.093539, -85.081872, -85.08486, -85.088003, -85.090996, -85.095867, -85.099825, -85.100701, -85.105966, -85.105884, -85.113111, -85.117107, -85.11822, -85.119559, -85.122917, -85.124902, -85.185587, -85.187312, -85.187427, -85.186994, -85.187604, -85.187233, -85.187209, -85.187217, -85.187322, -85.187172, -85.187169, 
-85.187711, -85.188511, -85.18854, -85.188635, -85.188755, 39.21556, 39.219592, 39.220929, 39.220937, 39.221124, 39.221336, 39.221421, 39.221251, 39.221485, 39.221507, 39.221556, 39.221936, 39.222052, 39.222186, 39.222244, 39.222266, 39.206263, 39.188959, 39.172761, 39.146256, 39.124049, 39.11953, 39.090222, 39.090162, 39.050589, 39.029288, 39.024427, 39.017165, 39.017119, 39.016746, 39.015862, 39.060954, 39.066789, 39.111663, 39.114155, 39.118984, 39.133664, 39.135355, 39.159117, 39.162156, 39.162202, 
39.177132, 39.177112, 39.182856, 39.202533, 39.21556)))"
Southern Wells Community Schools,8425,18,10770,9700000US1810770,1810770,IN,Indiana,00,401722182,1604506,"list(list(c(-85.448825, -85.398271, -85.394841, -85.34396, -85.334667, -85.334822, -85.3349, -85.335035, -85.22267, -85.221694, -85.221326, -85.221361, -85.221368, -85.221317, -85.218633, -85.202315, -85.070385, -85.068479, -85.085414, -85.087652, -85.106918, -85.183391, -85.201146, -85.220999, -85.333667, -85.390539, -85.447014, -85.448134, -85.448993, -85.448825, 40.653607, 40.653695, 40.653984, 40.654801, 40.654413, 40.68346, 40.712699, 40.742031, 40.742606, 40.683795, 40.662454, 40.660929, 40.658519, 
40.654611, 40.654605, 40.654641, 40.655519, 40.56824, 40.568009, 40.56811, 40.567824, 40.567255, 40.567242, 40.567251, 40.567327, 40.566898, 40.566929, 40.625133, 40.651271, 40.653607)))"
Sheridan Community Schools,3055,18,06480,9700000US1806480,1806480,IN,Indiana,00,244000061,250768,"list(list(c(-86.356454, -86.356328, -86.348773, -86.337482, -86.31855, -86.285071, -86.282609, -86.275959, -86.261653, -86.261553, -86.242365, -86.242743, -86.128228, -86.128254, -86.128098, -86.128795, -86.137247, -86.140011, -86.175205, -86.2036, -86.241722, -86.241458, -86.31778, -86.33853, -86.35602, -86.35638, -86.3566, -86.356454, 40.178109, 40.178573, 40.178487, 40.178884, 40.179258, 40.179923, 40.17968, 40.179937, 40.180112, 40.180167, 40.180778, 40.215834, 40.217207, 40.131148, 40.101415, 
40.101298, 40.101037, 40.100802, 40.100468, 40.100206, 40.09985, 40.070819, 40.06955, 40.06919, 40.069008, 40.09833, 40.12712, 40.178109)))"
Marion Community Schools,2865,18,06390,9700000US1806390,1806390,IN,Indiana,00,145222465,806541,"list(list(c(-85.739185, -85.726101, -85.721815, -85.718648, -85.711971, -85.712139, -85.712411, -85.712418, -85.712412, -85.712404, -85.712403, -85.712402, -85.712393, -85.712216, -85.712245, -85.712741, -85.713101, -85.713107, -85.69198, -85.687299, -85.683782, -85.67703, -85.674817, -85.668561, -85.654124, -85.64852, -85.638705, -85.635757, -85.634676, -85.628468, -85.627546, -85.618079, -85.598939, -85.598612, -85.617726, -85.617421, -85.617313, -85.616317, -85.560142, -85.560097, -85.560063, 
-85.560049, -85.560015, -85.55998, -85.559866, -85.559764, -85.559857, -85.55925, -85.568571, -85.596164, -85.600318, -85.605875, -85.615571, -85.621453, -85.625176, -85.631361, -85.631299, -85.640229, -85.644518, -85.645356, -85.653439, -85.662886, -85.667737, -85.672981, -85.672966, -85.672778, -85.672625, -85.672609, -85.672435, -85.672404, -85.672615, -85.672656, -85.682203, -85.686387, -85.691437, -85.693078, -85.693477, -85.729482, -85.729815, -85.738612, -85.739185, 40.534473, 40.534928, 40.535897, 
40.538178, 40.541891, 40.552301, 40.560104, 40.560421, 40.561572, 40.562943, 40.563135, 40.563734, 40.566645, 40.567349, 40.574634, 40.603779, 40.609216, 40.610223, 40.610224, 40.610315, 40.609856, 40.610227, 40.610228, 40.61028, 40.6104, 40.610837, 40.61076, 40.608973, 40.609282, 40.609273, 40.610732, 40.610724, 40.610704, 40.596154, 40.596238, 40.581698, 40.567129, 40.567129, 40.5669, 40.561676, 40.55885, 40.557761, 40.555391, 40.553332, 40.549554, 40.545826, 40.538584, 40.509471, 40.509812, 40.509524, 
40.509576, 40.50944, 40.509341, 40.509338, 40.50964, 40.509577, 40.509468, 40.509425, 40.509664, 40.509541, 40.509407, 40.509334, 40.509296, 40.509357, 40.509076, 40.507748, 40.499857, 40.499305, 40.49349, 40.492458, 40.487594, 40.480339, 40.480411, 40.480408, 40.480398, 40.480372, 40.480339, 40.480123, 40.509179, 40.509072, 40.534473)))"
Franklin Township Community School Corporation,5310,18,03750,9700000US1803750,1803750,IN,Indiana,00,105653116,22840,"list(list(c(-86.082712, -86.082676, -86.082189, -86.082488, -86.082531, -86.08253, -86.082542, -86.082662, -86.082685, -86.082168, -86.075978, -86.068903, -86.062212, -86.058458, -86.055055, -86.052267, -86.056571, -86.069161, -86.073432, -86.073119, -86.063606, -86.047308, -86.044743, -86.027417, -86.025048, -86.020533, -86.008566, -85.951699, -85.951721, -85.951735, -85.95208, -85.952097, -85.95208, -85.99018, -86.018788, -86.044638, -86.044705, -86.05416, -86.058927, -86.06371, -86.074208, -86.08273, 
-86.082712, 39.651186, 39.653772, 39.663174, 39.66592, 39.669944, 39.680639, 39.694587, 39.703554, 39.704369, 39.70421, 39.703733, 39.70506, 39.708137, 39.710796, 39.709629, 39.709845, 39.712637, 39.720812, 39.723972, 39.72401, 39.724258, 39.724661, 39.724591, 39.725052, 39.725536, 39.725493, 39.725599, 39.726419, 39.697136, 39.697049, 39.661276, 39.644729, 39.638345, 39.637968, 39.637342, 39.637224, 39.637219, 39.63703, 39.636929, 39.63683, 39.636589, 39.63644, 39.651186)))"
Goshen Community Schools,2315,18,03930,9700000US1803930,1803930,IN,Indiana,00,90698362,1743275,"list(list(c(-85.887238, -85.879241, -85.878306, -85.875175, -85.870168, -85.870153, -85.848481, -85.843682, -85.837105, -85.832274, -85.832178, -85.819694, -85.771861, -85.771214, -85.770643, -85.770581, -85.770545, -85.770212, -85.779706, -85.810084, -85.826918, -85.828379, -85.88582, -85.886526, -85.886416, -85.886765, -85.886768, -85.886937, -85.886986, -85.887037, -85.887141, -85.887217, -85.887238, 41.608742, 41.608746, 41.608683, 41.608845, 41.608701, 41.608718, 41.608649, 41.608649, 41.608649, 
41.608649, 41.608652, 41.6089, 41.609138, 41.581037, 41.551972, 41.548328, 41.546482, 41.522837, 41.522786, 41.522514, 41.522435, 41.522462, 41.522349, 41.564956, 41.565206, 41.580587, 41.580634, 41.587942, 41.591658, 41.595014, 41.602432, 41.607124, 41.608742)))"
Porter Township School Corporation,6520,18,09180,9700000US1809180,1809180,IN,Indiana,00,116126182,835921,"list(list(c(-87.219807, -87.219765, -87.219602, -87.219625, -87.195514, -87.181133, -87.128721, -87.123671, -87.110077, -87.10458, -87.085142, -87.084776, -87.065632, -87.065728, -87.06559, -87.065497, -87.110342, -87.111221, -87.200358, -87.219762, -87.219659, -87.219652, -87.219693, -87.21975, -87.219916, -87.219807, 41.411611, 41.419485, 41.420171, 41.434595, 41.434578, 41.434559, 41.434606, 41.434601, 41.434606, 41.434634, 41.434578, 41.391311, 41.3912, 41.377632, 41.375, 41.347481, 41.347469, 
41.347517, 41.347359, 41.347322, 41.383676, 41.38483, 41.390991, 41.394585, 41.396495, 41.411611)))"
Randolph Central School Corporation,6825,18,01770,9700000US1801770,1801770,IN,Indiana,00,350035996,932813,"list(list(c(-85.111095, -85.110371, -85.111018, -85.106201, -85.09168, -85.091951, -85.092084, -85.092755, -85.09209, -85.092314, -85.092515, -85.092328, -85.092539, -85.092758, -85.093344, -85.02703, -85.01748, -84.919775, -84.900809, -84.90046, -84.900289, -84.900823, -84.901684, -84.919812, -84.929178, -84.957096, -84.957348, -84.975979, -84.985018, -85.015789, -85.016434, -85.020815, -85.035116, -85.073033, -85.090357, -85.111068, -85.111095, 40.134747, 40.134754, 40.178591, 40.178616, 40.178628, 
40.187822, 40.193291, 40.221282, 40.22131, 40.235814, 40.243067, 40.243638, 40.250307, 40.264801, 40.307889, 40.308807, 40.308996, 40.30941, 40.30941, 40.265874, 40.222414, 40.164458, 40.121016, 40.12051, 40.120747, 40.121183, 40.121166, 40.120871, 40.121153, 40.121339, 40.120887, 40.120862, 40.120867, 40.120535, 40.120388, 40.121438, 40.134747)))"
